"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",1912,"green",11.98
"Air & Water pollution reduction","Green transition",210,"green",1.32
"Batteries","Green transition",675,"green",4.23
"Biofuels","Green transition",42,"green",0.26
"Biotechnology","Green transition",135,"green",0.85
"Efficient power & combustion","Green transition",87,"green",0.55
"Geothermal energy","Green transition",7,"green",0.04
"Green buildings","Green transition",866,"green",5.43
"Green transports","Green transition",195,"green",1.22
"Greenhouse gas capture","Green transition",24,"green",0.15
"Hydrogen","Green transition",81,"green",0.51
"Marine & hydro energy","Green transition",7,"green",0.04
"Nuclear energy","Green transition",31,"green",0.19
"Other energy storage","Green transition",48,"green",0.3
"Recycling technologies","Green transition",37,"green",0.23
"Solar energy","Green transition",11525,"green",72.22
"Waste management","Green transition",42,"green",0.26
"Water related adaptation technologies","Green transition",12,"green",0.08
"Wind energy","Green transition",23,"green",0.14
