"id","parent","value","color","share"
"Additive manufacturing","Digital transition",1032,"blue",2.11
"Advanced Sustainable Materials","Green transition",1900,"green",3.89
"Air & Water pollution reduction","Green transition",794,"green",1.62
"Artificial intelligence","Digital transition",3902,"blue",7.98
"Augmented reality","Digital transition",4373,"blue",8.94
"Autonomous robots","Digital transition",775,"blue",1.58
"Autonomous vehicles","Digital transition",320,"blue",0.65
"Batteries","Green transition",553,"green",1.13
"Biofuels","Green transition",79,"green",0.16
"Biotechnology","Green transition",28566,"green",58.42
"Blockchain","Digital transition",394,"blue",0.81
"Cloud computing","Digital transition",571,"blue",1.17
"Cybersecurity","Digital transition",972,"blue",1.99
"Efficient power & combustion","Green transition",3,"green",0.01
"Geothermal energy","Green transition",2,"green",0
"Green buildings","Green transition",148,"green",0.3
"Green transports","Green transition",59,"green",0.12
"Greenhouse gas capture","Green transition",25,"green",0.05
"Hydrogen","Green transition",124,"green",0.25
"Internet of things","Digital transition",1140,"blue",2.33
"Marine & hydro energy","Green transition",1,"green",0
"Nanotechnology","Digital transition",2329,"blue",4.76
"Nuclear energy","Green transition",3,"green",0.01
"Other energy storage","Green transition",19,"green",0.04
"Quantum computers","Digital transition",175,"blue",0.36
"Recycling technologies","Green transition",131,"green",0.27
"Smart grids","Digital transition",52,"blue",0.11
"Solar energy","Green transition",179,"green",0.37
"Waste management","Green transition",208,"green",0.43
"Water related adaptation technologies","Green transition",60,"green",0.12
"Wind energy","Green transition",7,"green",0.01
