"id","parent","value","color","share"
"Additive manufacturing","Digital transition",354,"blue",39.6
"Artificial intelligence","Digital transition",5,"blue",0.56
"Augmented reality","Digital transition",6,"blue",0.67
"Autonomous robots","Digital transition",5,"blue",0.56
"Autonomous vehicles","Digital transition",3,"blue",0.34
"Cybersecurity","Digital transition",4,"blue",0.45
"Nanotechnology","Digital transition",461,"blue",51.57
"Quantum computers","Digital transition",55,"blue",6.15
"Smart grids","Digital transition",1,"blue",0.11
