"id","x","y","parent","color"
"Autonomous robots",2016,0.69,"Digital transition","blue"
"Autonomous robots",2021,1.38,"Digital transition","blue"
"Autonomous robots",2015,0.81,"Digital transition","blue"
"Cloud computing",2011,1.82,"Digital transition","blue"
"Cloud computing",2010,2.68,"Digital transition","blue"
"Artificial intelligence",2012,0.94,"Digital transition","blue"
"Autonomous robots",2014,0.65,"Digital transition","blue"
"Nanotechnology",2012,0.94,"Digital transition","blue"
"Nanotechnology",2017,0.5,"Digital transition","blue"
"Nanotechnology",2018,0.35,"Digital transition","blue"
"Quantum computers",2015,0.54,"Digital transition","blue"
"Additive manufacturing",2021,0.46,"Digital transition","blue"
"Additive manufacturing",2011,0.61,"Digital transition","blue"
"Additive manufacturing",2013,0.34,"Digital transition","blue"
"Additive manufacturing",2016,0.23,"Digital transition","blue"
"Nanotechnology",2010,0.89,"Digital transition","blue"
"Nanotechnology",2020,0.18,"Digital transition","blue"
"Quantum computers",2016,0.23,"Digital transition","blue"
"Quantum computers",2012,0.47,"Digital transition","blue"
"Quantum computers",2013,0.34,"Digital transition","blue"
"Quantum computers",2020,0.18,"Digital transition","blue"
"Quantum computers",2010,0.89,"Digital transition","blue"
"Quantum computers",2017,0.25,"Digital transition","blue"
"Quantum computers",2014,0.33,"Digital transition","blue"
