"id","x","y","parent","color"
"Artificial intelligence",2017,2.46,"Digital transition","blue"
"Autonomous vehicles",2017,2.46,"Digital transition","blue"
"Cloud computing",2017,2.46,"Digital transition","blue"
"Advanced Sustainable Materials",2018,2.32,"Green transition","green"
"Autonomous vehicles",2016,2.08,"Digital transition","blue"
"Cloud computing",2019,2.38,"Digital transition","blue"
"Batteries",2018,2.25,"Green transition","green"
"Cloud computing",2012,2.07,"Digital transition","blue"
"Cloud computing",2011,2.31,"Digital transition","blue"
"Air & Water pollution reduction",2012,2,"Green transition","green"
"Autonomous vehicles",2015,2.1,"Digital transition","blue"
"Blockchain",2016,1.94,"Digital transition","blue"
"Green buildings",2018,2.09,"Green transition","green"
"Cloud computing",2020,2.95,"Digital transition","blue"
"Additive manufacturing",2016,1.73,"Digital transition","blue"
"Batteries",2011,1.99,"Green transition","green"
"Green transports",2011,1.99,"Green transition","green"
"Batteries",2013,1.62,"Green transition","green"
"Green transports",2012,1.71,"Green transition","green"
"Advanced Sustainable Materials",2020,2.61,"Green transition","green"
"Blockchain",2014,1.5,"Digital transition","blue"
"Green transports",2010,1.86,"Green transition","green"
"Nanotechnology",2020,2.61,"Digital transition","blue"
"Blockchain",2012,1.57,"Digital transition","blue"
"Artificial intelligence",2013,1.42,"Digital transition","blue"
"Air & Water pollution reduction",2017,1.58,"Green transition","green"
"Batteries",2015,1.5,"Green transition","green"
"Batteries",2012,1.43,"Green transition","green"
"Blockchain",2020,2.27,"Digital transition","blue"
"Blockchain",2013,1.35,"Digital transition","blue"
"Additive manufacturing",2017,1.51,"Digital transition","blue"
"Additive manufacturing",2018,1.47,"Digital transition","blue"
"Air & Water pollution reduction",2010,1.54,"Green transition","green"
"Air & Water pollution reduction",2013,1.28,"Green transition","green"
"Autonomous vehicles",2012,1.36,"Digital transition","blue"
"Batteries",2020,2.16,"Green transition","green"
"Green transports",2013,1.28,"Green transition","green"
"Nanotechnology",2021,4.24,"Digital transition","blue"
"Autonomous vehicles",2013,1.22,"Digital transition","blue"
"Batteries",2010,1.46,"Green transition","green"
"Blockchain",2011,1.43,"Digital transition","blue"
"Blockchain",2018,1.39,"Digital transition","blue"
"Internet of things",2021,4.02,"Digital transition","blue"
"Batteries",2019,1.35,"Green transition","green"
"Blockchain",2017,1.35,"Digital transition","blue"
"Cybersecurity",2021,3.79,"Digital transition","blue"
"Air & Water pollution reduction",2016,1.11,"Green transition","green"
"Green transports",2016,1.11,"Green transition","green"
"Green transports",2018,1.16,"Green transition","green"
"Smart grids",2012,1.07,"Digital transition","blue"
"Batteries",2017,1.11,"Green transition","green"
"Blockchain",2010,1.13,"Digital transition","blue"
"Smart grids",2013,0.95,"Digital transition","blue"
"Air & Water pollution reduction",2014,0.85,"Green transition","green"
"Air & Water pollution reduction",2020,1.48,"Green transition","green"
"Autonomous robots",2019,1.03,"Digital transition","blue"
"Batteries",2021,2.9,"Green transition","green"
"Blockchain",2019,1.03,"Digital transition","blue"
"Additive manufacturing",2020,1.36,"Digital transition","blue"
"Advanced Sustainable Materials",2021,2.68,"Green transition","green"
"Artificial intelligence",2012,0.86,"Digital transition","blue"
"Green transports",2017,0.95,"Green transition","green"
"Smart grids",2019,0.95,"Digital transition","blue"
"Smart grids",2015,0.9,"Digital transition","blue"
"Air & Water pollution reduction",2015,0.82,"Green transition","green"
"Blockchain",2015,0.82,"Digital transition","blue"
"Green buildings",2021,2.46,"Green transition","green"
"Green transports",2014,0.72,"Green transition","green"
"Green transports",2020,1.25,"Green transition","green"
"Air & Water pollution reduction",2018,0.77,"Green transition","green"
"Autonomous vehicles",2021,2.23,"Digital transition","blue"
"Autonomous vehicles",2011,0.8,"Digital transition","blue"
"Smart grids",2018,0.77,"Digital transition","blue"
"Green transports",2015,0.67,"Green transition","green"
"Smart grids",2017,0.71,"Digital transition","blue"
"Smart grids",2016,0.62,"Digital transition","blue"
"Air & Water pollution reduction",2019,0.63,"Green transition","green"
"Cloud computing",2021,1.79,"Digital transition","blue"
"Hydrogen",2010,0.65,"Green transition","green"
"Smart grids",2014,0.52,"Digital transition","blue"
"Additive manufacturing",2019,0.56,"Digital transition","blue"
"Other energy storage",2014,0.46,"Green transition","green"
"Smart grids",2011,0.56,"Digital transition","blue"
"Additive manufacturing",2021,1.34,"Digital transition","blue"
"Efficient power & combustion",2013,0.41,"Green transition","green"
"Green transports",2019,0.48,"Green transition","green"
"Hydrogen",2019,0.48,"Green transition","green"
"Hydrogen",2017,0.48,"Green transition","green"
"Other energy storage",2013,0.41,"Green transition","green"
"Smart grids",2010,0.49,"Digital transition","blue"
"Additive manufacturing",2015,0.37,"Digital transition","blue"
"Autonomous robots",2012,0.36,"Digital transition","blue"
"Biotechnology",2016,0.35,"Green transition","green"
"Biotechnology",2011,0.4,"Green transition","green"
"Efficient power & combustion",2012,0.36,"Green transition","green"
"Efficient power & combustion",2020,0.57,"Green transition","green"
"Efficient power & combustion",2016,0.35,"Green transition","green"
"Other energy storage",2018,0.39,"Green transition","green"
"Other energy storage",2012,0.36,"Green transition","green"
"Waste management",2015,0.37,"Green transition","green"
"Artificial intelligence",2011,0.32,"Digital transition","blue"
"Autonomous robots",2020,0.45,"Digital transition","blue"
"Autonomous robots",2016,0.28,"Digital transition","blue"
"Autonomous vehicles",2010,0.32,"Digital transition","blue"
"Biofuels",2013,0.27,"Green transition","green"
"Biofuels",2012,0.29,"Green transition","green"
"Biotechnology",2015,0.3,"Green transition","green"
"Biotechnology",2017,0.32,"Green transition","green"
"Blockchain",2021,0.89,"Digital transition","blue"
"Efficient power & combustion",2019,0.32,"Green transition","green"
"Hydrogen",2011,0.32,"Green transition","green"
