"id","parent","value","color","share"
"Additive manufacturing","Digital transition",33,"blue",0.06
"Advanced Sustainable Materials","Green transition",298,"green",0.55
"Air & Water pollution reduction","Green transition",40,"green",0.07
"Artificial intelligence","Digital transition",6624,"blue",12.31
"Augmented reality","Digital transition",4582,"blue",8.51
"Autonomous robots","Digital transition",142,"blue",0.26
"Autonomous vehicles","Digital transition",2079,"blue",3.86
"Batteries","Green transition",510,"green",0.95
"Biofuels","Green transition",3,"green",0.01
"Biotechnology","Green transition",109,"green",0.2
"Blockchain","Digital transition",3691,"blue",6.86
"Cloud computing","Digital transition",7259,"blue",13.49
"Cybersecurity","Digital transition",9563,"blue",17.77
"Efficient power & combustion","Green transition",11,"green",0.02
"Geothermal energy","Green transition",1,"green",0
"Green buildings","Green transition",185,"green",0.34
"Green transports","Green transition",107,"green",0.2
"Greenhouse gas capture","Green transition",2,"green",0
"Hydrogen","Green transition",5,"green",0.01
"Internet of things","Digital transition",16440,"blue",30.54
"Marine & hydro energy","Green transition",2,"green",0
"Nanotechnology","Digital transition",28,"blue",0.05
"Nuclear energy","Green transition",4,"green",0.01
"Other energy storage","Green transition",6,"green",0.01
"Quantum computers","Digital transition",1110,"blue",2.06
"Recycling technologies","Green transition",12,"green",0.02
"Smart grids","Digital transition",406,"blue",0.75
"Solar energy","Green transition",531,"green",0.99
"Waste management","Green transition",16,"green",0.03
"Water related adaptation technologies","Green transition",10,"green",0.02
"Wind energy","Green transition",14,"green",0.03
