"id","parent","value","color","share"
"Additive manufacturing","Digital transition",28,"blue",0.99
"Artificial intelligence","Digital transition",173,"blue",6.12
"Augmented reality","Digital transition",241,"blue",8.52
"Autonomous robots","Digital transition",31,"blue",1.1
"Autonomous vehicles","Digital transition",1345,"blue",47.54
"Blockchain","Digital transition",81,"blue",2.86
"Cloud computing","Digital transition",117,"blue",4.14
"Cybersecurity","Digital transition",144,"blue",5.09
"Internet of things","Digital transition",273,"blue",9.65
"Nanotechnology","Digital transition",6,"blue",0.21
"Quantum computers","Digital transition",21,"blue",0.74
"Smart grids","Digital transition",369,"blue",13.04
