"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",152,"green",21.11
"Air & Water pollution reduction","Green transition",27,"green",3.75
"Batteries","Green transition",117,"green",16.25
"Biofuels","Green transition",3,"green",0.42
"Biotechnology","Green transition",6,"green",0.83
"Efficient power & combustion","Green transition",2,"green",0.28
"Geothermal energy","Green transition",1,"green",0.14
"Green buildings","Green transition",71,"green",9.86
"Green transports","Green transition",84,"green",11.67
"Hydrogen","Green transition",24,"green",3.33
"Nuclear energy","Green transition",4,"green",0.56
"Other energy storage","Green transition",8,"green",1.11
"Recycling technologies","Green transition",2,"green",0.28
"Solar energy","Green transition",199,"green",27.64
"Waste management","Green transition",4,"green",0.56
"Water related adaptation technologies","Green transition",4,"green",0.56
"Wind energy","Green transition",12,"green",1.67
