"id","parent","value","color","share"
"Guangzhou Merci Forest Environment Science And Technology Co Ltd (CN)","Biotechnology",1,"lightorange",0.01
"Schweighofer Thomas Josef (AT)","Waste management",1,"blue",0.01
"Aktiebolaget Ludvig Svensson (SE)","Advanced Sustainable Materials",1,"orange",0.01
"Fraunhofer-Gesellschaft Zur F„∂Rderung Der Angewandten Forschung Ev (DE)","Biotechnology",11,"lightorange",0.08
"Papierfabrik August Koehler Se (DE)","Batteries",1,"red",0.01
"Symrise Ag (DE)","Batteries",3,"red",0.02
"Papierfabrik August Koehler Se (DE)","Other energy storage",1,"magenta",0.01
"Symrise Ag (DE)","Other energy storage",3,"magenta",0.02
"Bayer Animal Health Gmbh (DE)","Biotechnology",2,"lightorange",0.02
"Albert-Ludwigs-Universit„§T Freiburg (DE)","Biotechnology",1,"lightorange",0.01
"Quanturi Oy (FI)","Biotechnology",2,"lightorange",0.02
"Depuy Synthes Products Inc (US)","Biotechnology",1,"lightorange",0.01
"Smart Wave Technologies Inc (US)","Internet of things",1,"turquoise",0.01
"Zhangjiagang Institute Of Industrial Technologies Soochow University (CN)","Biotechnology",1,"lightorange",0.01
"China National Seed Group Co Ltd (CN)","Biotechnology",1,"lightorange",0.01
"Universitat Polit„®Cnica De Val„®Ncia (ES)","Air & Water pollution reduction",1,"grey",0.01
"The Texas A&M University System (US)","Water related adaptation technologies",3,"indigo",0.02
"North Carolina State University (US)","Biotechnology",9,"lightorange",0.07
"Ramot At Tel-Aviv University Ltd (IL)","Biotechnology",8,"lightorange",0.06
"The Medical Research Infrastructure And Health Services Fund Of The Tel-Aviv Medical Center (IL)","Biotechnology",1,"lightorange",0.01
"Barnett Dale (US)","Biotechnology",1,"lightorange",0.01
"Dotterer Robert (US)","Biotechnology",1,"lightorange",0.01
"Baker Milton (US)","Biotechnology",1,"lightorange",0.01
"Caron Products And Services Inc (US)","Biotechnology",1,"lightorange",0.01
"Figel David (US)","Biotechnology",1,"lightorange",0.01
"Irrigreen Inc (US)","Water related adaptation technologies",1,"indigo",0.01
"Quorum Innovations Llc (US)","Advanced Sustainable Materials",1,"orange",0.01
"Quorum Innovations Llc (US)","Biotechnology",1,"lightorange",0.01
"G-Land (KR)","Air & Water pollution reduction",1,"grey",0.01
"G-Land (KR)","Greenhouse gas capture",1,"darkyellow",0.01
"Irobot Corporation (US)","Autonomous vehicles",4,"cyan",0.03
"Thomas Jefferson University (US)","Biotechnology",1,"lightorange",0.01
"British American Tobacco (Investments) Limited (UK)","Biotechnology",6,"lightorange",0.05
"Universit„© Des Sciences Et Technologies De Lille (FR)","Biotechnology",1,"lightorange",0.01
"Institut National De La Recherche Agronomique (FR)","Biotechnology",4,"lightorange",0.03
"Institut Des Sciences Et Des Industries Du Vivant Et De L'environnement (FR)","Biotechnology",1,"lightorange",0.01
"Stemonix Inc (US)","Biotechnology",1,"lightorange",0.01
"Colzyx Ab (SE)","Biotechnology",1,"lightorange",0.01
"King Abdullah University Of Science And Technology (SA)","Advanced Sustainable Materials",1,"orange",0.01
"King Abdullah University Of Science And Technology (SA)","Biotechnology",1,"lightorange",0.01
"Norifish As (NO)","Biotechnology",2,"lightorange",0.02
"Waterdrager Holding Bv (NL)","Advanced Sustainable Materials",1,"orange",0.01
"General Hospital Of Shenyang Military Region (CN)","Biotechnology",1,"lightorange",0.01
"Sumitomo Chemical Company Limited (JP)","Advanced Sustainable Materials",6,"orange",0.05
"Sumitomo Chemical Company Limited (JP)","Biotechnology",4,"lightorange",0.03
