"id","parent","value","color","share"
"Additive manufacturing","Digital transition",2,"blue",2.99
"Artificial intelligence","Digital transition",7,"blue",10.45
"Augmented reality","Digital transition",13,"blue",19.4
"Autonomous robots","Digital transition",1,"blue",1.49
"Autonomous vehicles","Digital transition",1,"blue",1.49
"Blockchain","Digital transition",4,"blue",5.97
"Cloud computing","Digital transition",6,"blue",8.96
"Cybersecurity","Digital transition",3,"blue",4.48
"Internet of things","Digital transition",10,"blue",14.93
"Nanotechnology","Digital transition",17,"blue",25.37
"Quantum computers","Digital transition",3,"blue",4.48
