"id","parent","value","color","share"
"Additive manufacturing","Digital transition",380,"blue",0.93
"Advanced Sustainable Materials","Green transition",259,"green",0.63
"Air & Water pollution reduction","Green transition",101,"green",0.25
"Artificial intelligence","Digital transition",4410,"blue",10.74
"Augmented reality","Digital transition",4132,"blue",10.06
"Autonomous robots","Digital transition",161,"blue",0.39
"Autonomous vehicles","Digital transition",1579,"blue",3.85
"Batteries","Green transition",473,"green",1.15
"Biofuels","Green transition",11,"green",0.03
"Biotechnology","Green transition",351,"green",0.85
"Blockchain","Digital transition",3607,"blue",8.79
"Cloud computing","Digital transition",3798,"blue",9.25
"Cybersecurity","Digital transition",7733,"blue",18.84
"Efficient power & combustion","Green transition",28,"green",0.07
"Geothermal energy","Green transition",1,"green",0
"Green buildings","Green transition",319,"green",0.78
"Green transports","Green transition",237,"green",0.58
"Hydrogen","Green transition",47,"green",0.11
"Internet of things","Digital transition",11055,"blue",26.93
"Marine & hydro energy","Green transition",4,"green",0.01
"Nanotechnology","Digital transition",106,"blue",0.26
"Nuclear energy","Green transition",9,"green",0.02
"Other energy storage","Green transition",14,"green",0.03
"Quantum computers","Digital transition",1002,"blue",2.44
"Recycling technologies","Green transition",25,"green",0.06
"Smart grids","Digital transition",719,"blue",1.75
"Solar energy","Green transition",368,"green",0.9
"Waste management","Green transition",29,"green",0.07
"Water related adaptation technologies","Green transition",24,"green",0.06
"Wind energy","Green transition",73,"green",0.18
