"id","parent","value","color","share"
"Additive manufacturing","Digital transition",6832,"blue",17.31
"Advanced Sustainable Materials","Green transition",8276,"green",20.96
"Air & Water pollution reduction","Green transition",2465,"green",6.24
"Artificial intelligence","Digital transition",88,"blue",0.22
"Augmented reality","Digital transition",114,"blue",0.29
"Autonomous robots","Digital transition",67,"blue",0.17
"Autonomous vehicles","Digital transition",59,"blue",0.15
"Batteries","Green transition",3270,"green",8.28
"Biofuels","Green transition",2723,"green",6.9
"Biotechnology","Green transition",1146,"green",2.9
"Blockchain","Digital transition",25,"blue",0.06
"Cloud computing","Digital transition",13,"blue",0.03
"Cybersecurity","Digital transition",183,"blue",0.46
"Efficient power & combustion","Green transition",188,"green",0.48
"Geothermal energy","Green transition",8,"green",0.02
"Green buildings","Green transition",112,"green",0.28
"Green transports","Green transition",539,"green",1.37
"Greenhouse gas capture","Green transition",596,"green",1.51
"Hydrogen","Green transition",1242,"green",3.15
"Internet of things","Digital transition",33,"blue",0.08
"Marine & hydro energy","Green transition",8,"green",0.02
"Nanotechnology","Digital transition",4141,"blue",10.49
"Nuclear energy","Green transition",84,"green",0.21
"Other energy storage","Green transition",160,"green",0.41
"Quantum computers","Digital transition",347,"blue",0.88
"Recycling technologies","Green transition",2952,"green",7.48
"Smart grids","Digital transition",10,"blue",0.03
"Solar energy","Green transition",754,"green",1.91
"Waste management","Green transition",2581,"green",6.54
"Water related adaptation technologies","Green transition",152,"green",0.39
"Wind energy","Green transition",309,"green",0.78
