"id","parent","value","color","share"
"Additive manufacturing","Digital transition",193,"blue",0.51
"Advanced Sustainable Materials","Green transition",1912,"green",5.06
"Air & Water pollution reduction","Green transition",210,"green",0.56
"Artificial intelligence","Digital transition",2550,"blue",6.74
"Augmented reality","Digital transition",5546,"blue",14.67
"Autonomous robots","Digital transition",197,"blue",0.52
"Autonomous vehicles","Digital transition",1700,"blue",4.5
"Batteries","Green transition",675,"green",1.78
"Biofuels","Green transition",42,"green",0.11
"Biotechnology","Green transition",135,"green",0.36
"Blockchain","Digital transition",685,"blue",1.81
"Cloud computing","Digital transition",1480,"blue",3.91
"Cybersecurity","Digital transition",2033,"blue",5.38
"Efficient power & combustion","Green transition",87,"green",0.23
"Geothermal energy","Green transition",7,"green",0.02
"Green buildings","Green transition",866,"green",2.29
"Green transports","Green transition",195,"green",0.52
"Greenhouse gas capture","Green transition",24,"green",0.06
"Hydrogen","Green transition",81,"green",0.21
"Internet of things","Digital transition",2764,"blue",7.31
"Marine & hydro energy","Green transition",7,"green",0.02
"Nanotechnology","Digital transition",1613,"blue",4.27
"Nuclear energy","Green transition",31,"green",0.08
"Other energy storage","Green transition",48,"green",0.13
"Quantum computers","Digital transition",2855,"blue",7.55
"Recycling technologies","Green transition",37,"green",0.1
"Smart grids","Digital transition",242,"blue",0.64
"Solar energy","Green transition",11525,"green",30.48
"Waste management","Green transition",42,"green",0.11
"Water related adaptation technologies","Green transition",12,"green",0.03
"Wind energy","Green transition",23,"green",0.06
