"id","x","y","parent","color"
"Additive manufacturing",2010,6.38,"Digital transition","blue"
"Artificial intelligence",2014,2.29,"Digital transition","blue"
"Augmented reality",2013,2.68,"Digital transition","blue"
"Augmented reality",2012,3.3,"Digital transition","blue"
"Autonomous robots",2012,3.3,"Digital transition","blue"
"Blockchain",2010,6.38,"Digital transition","blue"
"Blockchain",2014,2.29,"Digital transition","blue"
"Blockchain",2021,2.46,"Digital transition","blue"
"Cybersecurity",2012,3.3,"Digital transition","blue"
"Nanotechnology",2020,0.72,"Digital transition","blue"
"Nanotechnology",2010,6.38,"Digital transition","blue"
"Quantum computers",2013,2.68,"Digital transition","blue"
"Quantum computers",2019,0.63,"Digital transition","blue"
"Smart grids",2014,2.29,"Digital transition","blue"
"Smart grids",2010,6.38,"Digital transition","blue"
"Additive manufacturing",2012,2.2,"Digital transition","blue"
"Autonomous robots",2014,1.53,"Digital transition","blue"
"Cloud computing",2013,1.79,"Digital transition","blue"
"Cybersecurity",2010,4.26,"Digital transition","blue"
"Nanotechnology",2013,1.79,"Digital transition","blue"
"Nanotechnology",2016,0.8,"Digital transition","blue"
"Smart grids",2015,0.99,"Digital transition","blue"
"Additive manufacturing",2013,0.89,"Digital transition","blue"
"Artificial intelligence",2013,0.89,"Digital transition","blue"
"Artificial intelligence",2012,1.1,"Digital transition","blue"
"Artificial intelligence",2010,2.13,"Digital transition","blue"
"Augmented reality",2011,2.27,"Digital transition","blue"
"Augmented reality",2010,2.13,"Digital transition","blue"
"Autonomous robots",2011,2.27,"Digital transition","blue"
"Autonomous robots",2010,2.13,"Digital transition","blue"
"Cloud computing",2010,2.13,"Digital transition","blue"
"Cloud computing",2012,1.1,"Digital transition","blue"
"Nanotechnology",2021,0.82,"Digital transition","blue"
"Quantum computers",2010,2.13,"Digital transition","blue"
"Quantum computers",2016,0.4,"Digital transition","blue"
