"id","parent","value","color","share"
"Additive manufacturing","Digital transition",2922,"blue",27.51
"Advanced Sustainable Materials","Green transition",1806,"green",17
"Air & Water pollution reduction","Green transition",641,"green",6.04
"Artificial intelligence","Digital transition",43,"blue",0.4
"Augmented reality","Digital transition",44,"blue",0.41
"Autonomous robots","Digital transition",24,"blue",0.23
"Autonomous vehicles","Digital transition",24,"blue",0.23
"Batteries","Green transition",539,"green",5.07
"Biofuels","Green transition",735,"green",6.92
"Biotechnology","Green transition",338,"green",3.18
"Blockchain","Digital transition",16,"blue",0.15
"Cloud computing","Digital transition",6,"blue",0.06
"Cybersecurity","Digital transition",97,"blue",0.91
"Efficient power & combustion","Green transition",44,"green",0.41
"Geothermal energy","Green transition",2,"green",0.02
"Green buildings","Green transition",29,"green",0.27
"Green transports","Green transition",149,"green",1.4
"Greenhouse gas capture","Green transition",208,"green",1.96
"Hydrogen","Green transition",227,"green",2.14
"Internet of things","Digital transition",20,"blue",0.19
"Marine & hydro energy","Green transition",4,"green",0.04
"Nanotechnology","Digital transition",976,"blue",9.19
"Nuclear energy","Green transition",40,"green",0.38
"Other energy storage","Green transition",50,"green",0.47
"Quantum computers","Digital transition",103,"blue",0.97
"Recycling technologies","Green transition",663,"green",6.24
"Smart grids","Digital transition",6,"blue",0.06
"Solar energy","Green transition",158,"green",1.49
"Waste management","Green transition",584,"green",5.5
"Water related adaptation technologies","Green transition",41,"green",0.39
"Wind energy","Green transition",82,"green",0.77
