"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",495,"green",21.66
"Air & Water pollution reduction","Green transition",238,"green",10.42
"Batteries","Green transition",280,"green",12.25
"Biofuels","Green transition",265,"green",11.6
"Biotechnology","Green transition",78,"green",3.41
"Efficient power & combustion","Green transition",5,"green",0.22
"Green buildings","Green transition",7,"green",0.31
"Green transports","Green transition",18,"green",0.79
"Greenhouse gas capture","Green transition",20,"green",0.88
"Hydrogen","Green transition",75,"green",3.28
"Nuclear energy","Green transition",5,"green",0.22
"Other energy storage","Green transition",19,"green",0.83
"Recycling technologies","Green transition",354,"green",15.49
"Solar energy","Green transition",101,"green",4.42
"Waste management","Green transition",301,"green",13.17
"Water related adaptation technologies","Green transition",4,"green",0.18
"Wind energy","Green transition",20,"green",0.88
