"id","parent","value","color","share"
"Additive manufacturing","Digital transition",78,"blue",6.96
"Advanced Sustainable Materials","Green transition",585,"green",52.23
"Air & Water pollution reduction","Green transition",37,"green",3.3
"Artificial intelligence","Digital transition",19,"blue",1.7
"Augmented reality","Digital transition",35,"blue",3.12
"Autonomous robots","Digital transition",12,"blue",1.07
"Autonomous vehicles","Digital transition",5,"blue",0.45
"Batteries","Green transition",33,"green",2.95
"Biofuels","Green transition",7,"green",0.62
"Biotechnology","Green transition",61,"green",5.45
"Blockchain","Digital transition",8,"blue",0.71
"Cloud computing","Digital transition",5,"blue",0.45
"Cybersecurity","Digital transition",16,"blue",1.43
"Green buildings","Green transition",6,"green",0.54
"Green transports","Green transition",7,"green",0.62
"Greenhouse gas capture","Green transition",1,"green",0.09
"Hydrogen","Green transition",6,"green",0.54
"Internet of things","Digital transition",20,"blue",1.79
"Marine & hydro energy","Green transition",1,"green",0.09
"Nanotechnology","Digital transition",81,"blue",7.23
"Nuclear energy","Green transition",1,"green",0.09
"Other energy storage","Green transition",1,"green",0.09
"Quantum computers","Digital transition",5,"blue",0.45
"Recycling technologies","Green transition",35,"green",3.12
"Solar energy","Green transition",10,"green",0.89
"Waste management","Green transition",39,"green",3.48
"Water related adaptation technologies","Green transition",4,"green",0.36
"Wind energy","Green transition",2,"green",0.18
