"id","parent","value","color","share"
"Additive manufacturing","Digital transition",182,"blue",0.51
"Advanced Sustainable Materials","Green transition",311,"green",0.87
"Air & Water pollution reduction","Green transition",42,"green",0.12
"Artificial intelligence","Digital transition",1249,"blue",3.5
"Augmented reality","Digital transition",468,"blue",1.31
"Autonomous robots","Digital transition",31,"blue",0.09
"Autonomous vehicles","Digital transition",1883,"blue",5.28
"Batteries","Green transition",221,"green",0.62
"Biofuels","Green transition",12,"green",0.03
"Biotechnology","Green transition",20,"green",0.06
"Blockchain","Digital transition",4618,"blue",12.96
"Cloud computing","Digital transition",2662,"blue",7.47
"Cybersecurity","Digital transition",11154,"blue",31.3
"Efficient power & combustion","Green transition",14,"green",0.04
"Geothermal energy","Green transition",1,"green",0
"Green buildings","Green transition",48,"green",0.13
"Green transports","Green transition",683,"green",1.92
"Greenhouse gas capture","Green transition",4,"green",0.01
"Hydrogen","Green transition",18,"green",0.05
"Internet of things","Digital transition",10447,"blue",29.32
"Marine & hydro energy","Green transition",7,"green",0.02
"Nanotechnology","Digital transition",30,"blue",0.08
"Nuclear energy","Green transition",19,"green",0.05
"Other energy storage","Green transition",5,"green",0.01
"Quantum computers","Digital transition",242,"blue",0.68
"Recycling technologies","Green transition",19,"green",0.05
"Smart grids","Digital transition",1002,"blue",2.81
"Solar energy","Green transition",139,"green",0.39
"Waste management","Green transition",11,"green",0.03
"Water related adaptation technologies","Green transition",35,"green",0.1
"Wind energy","Green transition",60,"green",0.17
