"id","parent","value","color","share"
"Additive manufacturing","Digital transition",2,"blue",0.06
"Artificial intelligence","Digital transition",734,"blue",20.96
"Augmented reality","Digital transition",914,"blue",26.1
"Autonomous robots","Digital transition",23,"blue",0.66
"Autonomous vehicles","Digital transition",407,"blue",11.62
"Blockchain","Digital transition",102,"blue",2.91
"Cloud computing","Digital transition",316,"blue",9.02
"Cybersecurity","Digital transition",334,"blue",9.54
"Internet of things","Digital transition",565,"blue",16.13
"Nanotechnology","Digital transition",20,"blue",0.57
"Quantum computers","Digital transition",72,"blue",2.06
"Smart grids","Digital transition",13,"blue",0.37
