"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",1668,"green",56.31
"Air & Water pollution reduction","Green transition",245,"green",8.27
"Batteries","Green transition",151,"green",5.1
"Biofuels","Green transition",33,"green",1.11
"Biotechnology","Green transition",270,"green",9.12
"Efficient power & combustion","Green transition",4,"green",0.14
"Geothermal energy","Green transition",1,"green",0.03
"Green buildings","Green transition",134,"green",4.52
"Green transports","Green transition",27,"green",0.91
"Greenhouse gas capture","Green transition",3,"green",0.1
"Hydrogen","Green transition",52,"green",1.76
"Marine & hydro energy","Green transition",5,"green",0.17
"Nuclear energy","Green transition",2,"green",0.07
"Other energy storage","Green transition",16,"green",0.54
"Recycling technologies","Green transition",127,"green",4.29
"Solar energy","Green transition",50,"green",1.69
"Waste management","Green transition",151,"green",5.1
"Water related adaptation technologies","Green transition",15,"green",0.51
"Wind energy","Green transition",8,"green",0.27
