"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",121,"green",16.44
"Air & Water pollution reduction","Green transition",192,"green",26.09
"Batteries","Green transition",39,"green",5.3
"Biofuels","Green transition",18,"green",2.45
"Efficient power & combustion","Green transition",2,"green",0.27
"Geothermal energy","Green transition",7,"green",0.95
"Green buildings","Green transition",84,"green",11.41
"Green transports","Green transition",30,"green",4.08
"Marine & hydro energy","Green transition",18,"green",2.45
"Nuclear energy","Green transition",1,"green",0.14
"Other energy storage","Green transition",6,"green",0.82
"Recycling technologies","Green transition",19,"green",2.58
"Solar energy","Green transition",67,"green",9.1
"Waste management","Green transition",14,"green",1.9
"Water related adaptation technologies","Green transition",92,"green",12.5
"Wind energy","Green transition",26,"green",3.53
