"id","x","y","parent","color"
"Biofuels",2013,1.25,"Green transition","green"
"Green buildings",2018,0.97,"Green transition","green"
"Green buildings",2019,1.42,"Green transition","green"
"Green transports",2011,1.24,"Green transition","green"
"Green transports",2018,0.97,"Green transition","green"
"Green transports",2019,1.42,"Green transition","green"
"Hydrogen",2014,1.12,"Green transition","green"
"Hydrogen",2016,1.33,"Green transition","green"
"Marine & hydro energy",2015,1,"Green transition","green"
"Marine & hydro energy",2019,1.42,"Green transition","green"
"Other energy storage",2016,1.33,"Green transition","green"
"Other energy storage",2011,1.24,"Green transition","green"
"Other energy storage",2013,1.25,"Green transition","green"
"Solar energy",2015,1,"Green transition","green"
"Solar energy",2013,1.25,"Green transition","green"
"Solar energy",2020,2.04,"Green transition","green"
"Water related adaptation technologies",2018,0.97,"Green transition","green"
"Water related adaptation technologies",2011,1.24,"Green transition","green"
"Wind energy",2010,1.34,"Green transition","green"
"Wind energy",2019,1.42,"Green transition","green"
"Biofuels",2020,1.02,"Green transition","green"
"Efficient power & combustion",2017,0.49,"Green transition","green"
"Green transports",2021,1.43,"Green transition","green"
"Greenhouse gas capture",2020,1.02,"Green transition","green"
"Hydrogen",2011,0.62,"Green transition","green"
"Hydrogen",2010,0.67,"Green transition","green"
"Marine & hydro energy",2017,0.49,"Green transition","green"
"Other energy storage",2015,0.5,"Green transition","green"
"Other energy storage",2014,0.56,"Green transition","green"
"Other energy storage",2012,0.52,"Green transition","green"
"Solar energy",2017,0.49,"Green transition","green"
"Waste management",2010,0.67,"Green transition","green"
"Water related adaptation technologies",2020,1.02,"Green transition","green"
"Water related adaptation technologies",2014,0.56,"Green transition","green"
"Water related adaptation technologies",2019,0.71,"Green transition","green"
"Water related adaptation technologies",2017,0.49,"Green transition","green"
"Water related adaptation technologies",2021,1.43,"Green transition","green"
"Wind energy",2020,1.02,"Green transition","green"
"Wind energy",2011,0.62,"Green transition","green"
"Wind energy",2021,1.43,"Green transition","green"
"Wind energy",2018,0.49,"Green transition","green"
