"id","parent","value","color","share"
"Additive manufacturing","Digital transition",460,"blue",6.34
"Artificial intelligence","Digital transition",1814,"blue",25
"Augmented reality","Digital transition",1638,"blue",22.57
"Autonomous robots","Digital transition",306,"blue",4.22
"Autonomous vehicles","Digital transition",165,"blue",2.27
"Blockchain","Digital transition",205,"blue",2.82
"Cloud computing","Digital transition",334,"blue",4.6
"Cybersecurity","Digital transition",489,"blue",6.74
"Internet of things","Digital transition",615,"blue",8.47
"Nanotechnology","Digital transition",1132,"blue",15.6
"Quantum computers","Digital transition",64,"blue",0.88
"Smart grids","Digital transition",35,"blue",0.48
