"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",536,"green",6.28
"Air & Water pollution reduction","Green transition",229,"green",2.68
"Batteries","Green transition",116,"green",1.36
"Biofuels","Green transition",16,"green",0.19
"Biotechnology","Green transition",7388,"green",86.51
"Geothermal energy","Green transition",1,"green",0.01
"Green buildings","Green transition",39,"green",0.46
"Green transports","Green transition",22,"green",0.26
"Greenhouse gas capture","Green transition",4,"green",0.05
"Hydrogen","Green transition",20,"green",0.23
"Other energy storage","Green transition",11,"green",0.13
"Recycling technologies","Green transition",35,"green",0.41
"Solar energy","Green transition",41,"green",0.48
"Waste management","Green transition",56,"green",0.66
"Water related adaptation technologies","Green transition",24,"green",0.28
"Wind energy","Green transition",2,"green",0.02
