"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",421,"green",29.03
"Air & Water pollution reduction","Green transition",252,"green",17.38
"Batteries","Green transition",77,"green",5.31
"Biofuels","Green transition",56,"green",3.86
"Biotechnology","Green transition",8,"green",0.55
"Efficient power & combustion","Green transition",1,"green",0.07
"Geothermal energy","Green transition",3,"green",0.21
"Green buildings","Green transition",140,"green",9.66
"Green transports","Green transition",42,"green",2.9
"Greenhouse gas capture","Green transition",1,"green",0.07
"Hydrogen","Green transition",2,"green",0.14
"Marine & hydro energy","Green transition",19,"green",1.31
"Nuclear energy","Green transition",7,"green",0.48
"Other energy storage","Green transition",10,"green",0.69
"Recycling technologies","Green transition",58,"green",4
"Solar energy","Green transition",106,"green",7.31
"Waste management","Green transition",53,"green",3.66
"Water related adaptation technologies","Green transition",154,"green",10.62
"Wind energy","Green transition",40,"green",2.76
