"id","parent","value","color","share"
"Additive manufacturing","Digital transition",61,"blue",0.19
"Advanced Sustainable Materials","Green transition",478,"green",1.5
"Air & Water pollution reduction","Green transition",213,"green",0.67
"Artificial intelligence","Digital transition",163,"blue",0.51
"Augmented reality","Digital transition",75,"blue",0.24
"Autonomous robots","Digital transition",12,"blue",0.04
"Autonomous vehicles","Digital transition",260,"blue",0.82
"Batteries","Green transition",1748,"green",5.5
"Biofuels","Green transition",231,"green",0.73
"Biotechnology","Green transition",56,"green",0.18
"Blockchain","Digital transition",30,"blue",0.09
"Cloud computing","Digital transition",34,"blue",0.11
"Cybersecurity","Digital transition",83,"blue",0.26
"Efficient power & combustion","Green transition",285,"green",0.9
"Geothermal energy","Green transition",233,"green",0.73
"Green buildings","Green transition",1577,"green",4.96
"Green transports","Green transition",673,"green",2.12
"Greenhouse gas capture","Green transition",23,"green",0.07
"Hydrogen","Green transition",308,"green",0.97
"Internet of things","Digital transition",144,"blue",0.45
"Marine & hydro energy","Green transition",1229,"green",3.87
"Nanotechnology","Digital transition",297,"blue",0.93
"Nuclear energy","Green transition",21,"green",0.07
"Other energy storage","Green transition",289,"green",0.91
"Quantum computers","Digital transition",582,"blue",1.83
"Recycling technologies","Green transition",113,"green",0.36
"Smart grids","Digital transition",1327,"blue",4.17
"Solar energy","Green transition",17189,"green",54.07
"Waste management","Green transition",59,"green",0.19
"Water related adaptation technologies","Green transition",48,"green",0.15
"Wind energy","Green transition",3952,"green",12.43
