"id","parent","value","color","share"
"Additive manufacturing","Digital transition",1,"blue",0.02
"Advanced Sustainable Materials","Green transition",101,"green",1.93
"Air & Water pollution reduction","Green transition",27,"green",0.51
"Artificial intelligence","Digital transition",26,"blue",0.5
"Augmented reality","Digital transition",14,"blue",0.27
"Autonomous robots","Digital transition",5,"blue",0.1
"Autonomous vehicles","Digital transition",27,"blue",0.51
"Batteries","Green transition",258,"green",4.92
"Biofuels","Green transition",31,"green",0.59
"Biotechnology","Green transition",2,"green",0.04
"Blockchain","Digital transition",2,"blue",0.04
"Cloud computing","Digital transition",5,"blue",0.1
"Cybersecurity","Digital transition",11,"blue",0.21
"Efficient power & combustion","Green transition",42,"green",0.8
"Geothermal energy","Green transition",26,"green",0.5
"Green buildings","Green transition",199,"green",3.8
"Green transports","Green transition",100,"green",1.91
"Greenhouse gas capture","Green transition",3,"green",0.06
"Hydrogen","Green transition",23,"green",0.44
"Internet of things","Digital transition",18,"blue",0.34
"Marine & hydro energy","Green transition",167,"green",3.19
"Nanotechnology","Digital transition",51,"blue",0.97
"Other energy storage","Green transition",24,"green",0.46
"Quantum computers","Digital transition",82,"blue",1.56
"Recycling technologies","Green transition",22,"green",0.42
"Smart grids","Digital transition",221,"blue",4.22
"Solar energy","Green transition",3322,"green",63.36
"Waste management","Green transition",14,"green",0.27
"Water related adaptation technologies","Green transition",7,"green",0.13
"Wind energy","Green transition",412,"green",7.86
