"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",233,"green",25.8
"Air & Water pollution reduction","Green transition",13,"green",1.44
"Batteries","Green transition",172,"green",19.05
"Biofuels","Green transition",3,"green",0.33
"Biotechnology","Green transition",2,"green",0.22
"Geothermal energy","Green transition",1,"green",0.11
"Green buildings","Green transition",68,"green",7.53
"Green transports","Green transition",44,"green",4.87
"Greenhouse gas capture","Green transition",1,"green",0.11
"Hydrogen","Green transition",3,"green",0.33
"Other energy storage","Green transition",5,"green",0.55
"Recycling technologies","Green transition",2,"green",0.22
"Solar energy","Green transition",346,"green",38.32
"Waste management","Green transition",5,"green",0.55
"Water related adaptation technologies","Green transition",2,"green",0.22
"Wind energy","Green transition",3,"green",0.33
