"id","parent","value","color","share"
"Additive manufacturing","Digital transition",14,"blue",0.54
"Artificial intelligence","Digital transition",282,"blue",10.81
"Augmented reality","Digital transition",195,"blue",7.48
"Autonomous robots","Digital transition",32,"blue",1.23
"Autonomous vehicles","Digital transition",1280,"blue",49.08
"Blockchain","Digital transition",75,"blue",2.88
"Cloud computing","Digital transition",148,"blue",5.67
"Cybersecurity","Digital transition",127,"blue",4.87
"Internet of things","Digital transition",286,"blue",10.97
"Nanotechnology","Digital transition",3,"blue",0.12
"Quantum computers","Digital transition",17,"blue",0.65
"Smart grids","Digital transition",149,"blue",5.71
