"id","parent","value","color","share"
"Additive manufacturing","Digital transition",48,"blue",2.09
"Artificial intelligence","Digital transition",430,"blue",18.7
"Augmented reality","Digital transition",833,"blue",36.22
"Autonomous robots","Digital transition",23,"blue",1
"Autonomous vehicles","Digital transition",172,"blue",7.48
"Blockchain","Digital transition",82,"blue",3.57
"Cloud computing","Digital transition",116,"blue",5.04
"Cybersecurity","Digital transition",233,"blue",10.13
"Internet of things","Digital transition",266,"blue",11.57
"Nanotechnology","Digital transition",30,"blue",1.3
"Quantum computers","Digital transition",49,"blue",2.13
"Smart grids","Digital transition",18,"blue",0.78
