"id","parent","value","color","share"
"Additive manufacturing","Digital transition",72,"blue",17.48
"Artificial intelligence","Digital transition",23,"blue",5.58
"Augmented reality","Digital transition",30,"blue",7.28
"Autonomous robots","Digital transition",28,"blue",6.8
"Autonomous vehicles","Digital transition",119,"blue",28.88
"Blockchain","Digital transition",15,"blue",3.64
"Cloud computing","Digital transition",12,"blue",2.91
"Cybersecurity","Digital transition",23,"blue",5.58
"Internet of things","Digital transition",69,"blue",16.75
"Nanotechnology","Digital transition",5,"blue",1.21
"Quantum computers","Digital transition",5,"blue",1.21
"Smart grids","Digital transition",11,"blue",2.67
