"id","parent","value","color","share"
"Additive manufacturing","Digital transition",916,"blue",0.43
"Advanced Sustainable Materials","Green transition",2657,"green",1.26
"Air & Water pollution reduction","Green transition",284,"green",0.13
"Artificial intelligence","Digital transition",28533,"blue",13.5
"Augmented reality","Digital transition",23225,"blue",10.99
"Autonomous robots","Digital transition",951,"blue",0.45
"Autonomous vehicles","Digital transition",8976,"blue",4.25
"Batteries","Green transition",2839,"green",1.34
"Biofuels","Green transition",29,"green",0.01
"Biotechnology","Green transition",1944,"green",0.92
"Blockchain","Digital transition",15154,"blue",7.17
"Cloud computing","Digital transition",22458,"blue",10.62
"Cybersecurity","Digital transition",34811,"blue",16.47
"Efficient power & combustion","Green transition",96,"green",0.05
"Geothermal energy","Green transition",4,"green",0
"Green buildings","Green transition",1290,"green",0.61
"Green transports","Green transition",723,"green",0.34
"Greenhouse gas capture","Green transition",4,"green",0
"Hydrogen","Green transition",149,"green",0.07
"Internet of things","Digital transition",54201,"blue",25.64
"Marine & hydro energy","Green transition",14,"green",0.01
"Nanotechnology","Digital transition",714,"blue",0.34
"Nuclear energy","Green transition",57,"green",0.03
"Other energy storage","Green transition",53,"green",0.03
"Quantum computers","Digital transition",5111,"blue",2.42
"Recycling technologies","Green transition",116,"green",0.05
"Smart grids","Digital transition",2851,"blue",1.35
"Solar energy","Green transition",2819,"green",1.33
"Waste management","Green transition",159,"green",0.08
"Water related adaptation technologies","Green transition",130,"green",0.06
"Wind energy","Green transition",118,"green",0.06
