"id","parent","value","color","share"
"Additive manufacturing","Digital transition",916,"blue",0.46
"Artificial intelligence","Digital transition",28533,"blue",14.42
"Augmented reality","Digital transition",23225,"blue",11.74
"Autonomous robots","Digital transition",951,"blue",0.48
"Autonomous vehicles","Digital transition",8976,"blue",4.54
"Blockchain","Digital transition",15154,"blue",7.66
"Cloud computing","Digital transition",22458,"blue",11.35
"Cybersecurity","Digital transition",34811,"blue",17.59
"Internet of things","Digital transition",54201,"blue",27.39
"Nanotechnology","Digital transition",714,"blue",0.36
"Quantum computers","Digital transition",5111,"blue",2.58
"Smart grids","Digital transition",2851,"blue",1.44
