"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",198,"green",6.02
"Air & Water pollution reduction","Green transition",73,"green",2.22
"Batteries","Green transition",112,"green",3.41
"Biofuels","Green transition",9,"green",0.27
"Biotechnology","Green transition",19,"green",0.58
"Efficient power & combustion","Green transition",19,"green",0.58
"Geothermal energy","Green transition",1,"green",0.03
"Green buildings","Green transition",210,"green",6.38
"Green transports","Green transition",56,"green",1.7
"Greenhouse gas capture","Green transition",3,"green",0.09
"Hydrogen","Green transition",23,"green",0.7
"Marine & hydro energy","Green transition",2,"green",0.06
"Nuclear energy","Green transition",10,"green",0.3
"Other energy storage","Green transition",12,"green",0.36
"Recycling technologies","Green transition",2,"green",0.06
"Solar energy","Green transition",2526,"green",76.8
"Waste management","Green transition",4,"green",0.12
"Wind energy","Green transition",10,"green",0.3
