"id","parent","value","color","share"
"Additive manufacturing","Digital transition",170,"blue",0.97
"Artificial intelligence","Digital transition",3516,"blue",20.01
"Augmented reality","Digital transition",5913,"blue",33.64
"Autonomous robots","Digital transition",220,"blue",1.25
"Autonomous vehicles","Digital transition",1663,"blue",9.46
"Blockchain","Digital transition",530,"blue",3.02
"Cloud computing","Digital transition",1197,"blue",6.81
"Cybersecurity","Digital transition",1463,"blue",8.32
"Internet of things","Digital transition",2157,"blue",12.27
"Nanotechnology","Digital transition",215,"blue",1.22
"Quantum computers","Digital transition",390,"blue",2.22
"Smart grids","Digital transition",141,"blue",0.8
