"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",340,"green",8.55
"Air & Water pollution reduction","Green transition",65,"green",1.63
"Batteries","Green transition",829,"green",20.84
"Biofuels","Green transition",7,"green",0.18
"Biotechnology","Green transition",1097,"green",27.58
"Efficient power & combustion","Green transition",22,"green",0.55
"Geothermal energy","Green transition",2,"green",0.05
"Green buildings","Green transition",454,"green",11.42
"Green transports","Green transition",181,"green",4.55
"Greenhouse gas capture","Green transition",2,"green",0.05
"Hydrogen","Green transition",59,"green",1.48
"Marine & hydro energy","Green transition",6,"green",0.15
"Nuclear energy","Green transition",20,"green",0.5
"Other energy storage","Green transition",16,"green",0.4
"Recycling technologies","Green transition",51,"green",1.28
"Solar energy","Green transition",675,"green",16.97
"Waste management","Green transition",61,"green",1.53
"Water related adaptation technologies","Green transition",55,"green",1.38
"Wind energy","Green transition",35,"green",0.88
