"id","parent","value","color","share"
"Advanced Sustainable Materials","Green transition",346,"green",16.06
"Air & Water pollution reduction","Green transition",45,"green",2.09
"Batteries","Green transition",209,"green",9.7
"Biofuels","Green transition",41,"green",1.9
"Biotechnology","Green transition",8,"green",0.37
"Efficient power & combustion","Green transition",16,"green",0.74
"Green buildings","Green transition",36,"green",1.67
"Green transports","Green transition",1154,"green",53.55
"Hydrogen","Green transition",46,"green",2.13
"Marine & hydro energy","Green transition",6,"green",0.28
"Nuclear energy","Green transition",1,"green",0.05
"Other energy storage","Green transition",10,"green",0.46
"Recycling technologies","Green transition",6,"green",0.28
"Solar energy","Green transition",53,"green",2.46
"Waste management","Green transition",6,"green",0.28
"Water related adaptation technologies","Green transition",75,"green",3.48
"Wind energy","Green transition",97,"green",4.5
