"domain";"from";"from_geo";"to";"to_geo";"full";"full_frac";"binary";"binary_frac";"parent"
"Industrial Symbiosis";"INDUSTRIAL SOFTWARE";"Bulgaria (BG)";"KYOWA EUROPE GMBH";"Köln (DEA2)";1;1;1;1;"Industrial Loops"
"Industrial Symbiosis";"STOILOV, Dimo Georgiev";"Bulgaria (BG)";"STOILOV, Georgi Dimov";"Bulgaria (BG)";1;1;1;1;"Industrial Loops"
"Industrial Symbiosis";"Aronov, Liubcho Zdravkov";"Bulgaria (BG)";"Nikolova, Ekaterina Dimitrova";"Bulgaria (BG)";1;1;1;1;"Industrial Loops"
"Industrial Symbiosis";"BOJILOV, Raicho, Boikov";"Bulgaria (BG)";"BOZHILOV, Boyko, Raychev";"Bulgaria (BG)";1;1;1;1;"Industrial Loops"
"Product Services";"Aronov, Liubcho Zdravkov";"Bulgaria (BG)";"Nikolova, Ekaterina Dimitrova";"Bulgaria (BG)";1;1;1;1;"Circular Models"
"Product Services";"BOJILOV, Raicho, Boikov";"Bulgaria (BG)";"BOZHILOV, Boyko, Raychev";"Bulgaria (BG)";1;1;1;1;"Circular Models"
"Raw Material Shift";"STOILOV, Dimo Georgiev";"Bulgaria (BG)";"STOILOV, Georgi Dimov";"Bulgaria (BG)";1;1;1;1;"Industrial Loops"
"Raw Material Shift";"NACHEV, Yordan";"Bulgaria (BG)";"NAYDENOV, Vesselin";"Bulgaria (BG)";1;0,333333333333333;1;0,333333333333333;"Industrial Loops"
"Raw Material Shift";"NACHEV, Yordan";"Bulgaria (BG)";"VALAND, Dag";"Köln (DEA2)";1;0,333333333333333;1;0,333333333333333;"Industrial Loops"
"Raw Material Shift";"NAYDENOV, Vesselin";"Bulgaria (BG)";"VALAND, Dag";"Köln (DEA2)";1;0,333333333333333;1;0,333333333333333;"Industrial Loops"
"Raw Material Shift";"Aronov, Liubcho Zdravkov";"Bulgaria (BG)";"Nikolova, Ekaterina Dimitrova";"Bulgaria (BG)";1;1;1;1;"Industrial Loops"
"Raw Material Shift";"BOJILOV, Raicho, Boikov";"Bulgaria (BG)";"BOZHILOV, Boyko, Raychev";"Bulgaria (BG)";1;1;1;1;"Industrial Loops"
"Raw Material Shift";"Shirov, Boris Todorov";"Bulgaria (BG)";"Valand, Dag Arild";"Köln (DEA2)";1;0,333333333333333;1;0,333333333333333;"Industrial Loops"
"Raw Material Shift";"New Energy Corporation Limited";"Bulgaria (BG)";"Treelium SA";"Ticino (CH07)";1;0,333333333333333;1;0,333333333333333;"Industrial Loops"
"Raw Material Shift";"Naydenov, Vesselin Bojidarov";"Bulgaria (BG)";"Shirov, Boris Todorov";"Bulgaria (BG)";1;0,333333333333333;1;0,333333333333333;"Industrial Loops"
"Raw Material Shift";"Naydenov, Vesselin Bojidarov";"Bulgaria (BG)";"Valand, Dag Arild";"Köln (DEA2)";1;0,333333333333333;1;0,333333333333333;"Industrial Loops"
