"domain";"from";"from_geo";"to";"to_geo";"full";"full_frac";"binary";"binary_frac";"parent"
"Industrial Symbiosis";"HZPC Research B.V.";"Friesland (NL) (NL12)";"KWS Potato B.V.";"Flevoland (NL23)";1;0,166666666666667;1;0,166666666666667;"Industrial Loops"
"Industrial Symbiosis";"HZPC Research B.V.";"Friesland (NL) (NL12)";"Wageningen Universiteit";"Gelderland (NL22)";1;0,166666666666667;1;0,166666666666667;"Industrial Loops"
"Industrial Symbiosis";"Paques I.P. B.V.";"Friesland (NL) (NL12)";"Stora Enso Oyj";"Pohjois- ja Itä-Suomi (FI1D)";2;2;2;2;"Industrial Loops"
"Water Circularity";"Paques I.P. B.V.";"Friesland (NL) (NL12)";"Stora Enso Oyj";"Pohjois- ja Itä-Suomi (FI1D)";2;2;2;2;"Waste Cut"
