"domain";"from";"from_geo";"to";"to_geo";"full";"full_frac";"binary";"binary_frac";"parent"
"Industrial Symbiosis";"AGC Glass Europe";"Region Wallone (BE3)";"Euro-Multitel";"Region Wallone (BE3)";1;1;1;1;"Industrial Loops"
"Industrial Symbiosis";"Materia Nova";"Region Wallone (BE3)";"Université de Mons";"Region Wallone (BE3)";1;1;1;1;"Industrial Loops"
"Industrial Symbiosis";"SAFRAN AERO BOOSTERS";"Region Wallone (BE3)";"SAFRAN AIRCRAFT ENGINES";"Île de France (FR10)";1;1;1;1;"Industrial Loops"
"Industrial Symbiosis";"Mitis S.A.";"Region Wallone (BE3)";"Université Libre de Bruxelles";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest (BE10)";1;1;1;1;"Industrial Loops"
"Industrial Symbiosis";"Centre Belge d'Etude et de Documentation de l'Eau, en abrégé CEBEDEAU asbl";"Region Wallone (BE3)";"John Cockerill SA";"Region Wallone (BE3)";1;1;1;1;"Industrial Loops"
"Industrial Symbiosis";"Cockerill Maintenance & Ingenierie S.A.";"Region Wallone (BE3)";"Commissariat à l'Energie Atomique et aux Energies Alternatives";"Île de France (FR10)";1;1;1;1;"Industrial Loops"
"Product Services";"Centre Belge d'Etude et de Documentation de l'Eau, en abrégé CEBEDEAU asbl";"Region Wallone (BE3)";"John Cockerill SA";"Region Wallone (BE3)";1;1;1;1;"Circular Models"
"Product Services";"AGC Glass Europe";"Region Wallone (BE3)";"International Automotive Components Group GmbH";"Düsseldorf (DEA1)";1;1;1;1;"Circular Models"
"Product Services";"Cenexi - Laboratoires Thissen";"Region Wallone (BE3)";"Phixen SAS";"Île de France (FR10)";1;1;1;1;"Circular Models"
"Raw Material Shift";"Université de Liège";"Region Wallone (BE3)";"Université de Lille";"Nord - Pas-de-Calais (FR30)";1;1;1;1;"Industrial Loops"
"Raw Material Shift";"e-peas S.A.";"Region Wallone (BE3)";"Richemont International S.A.";"Espace Mittelland (CH02)";1;1;1;1;"Industrial Loops"
"Raw Material Shift";"AGC Glass Europe";"Region Wallone (BE3)";"Euro-Multitel";"Region Wallone (BE3)";1;1;1;1;"Industrial Loops"
