"domain";"from";"from_geo";"to";"to_geo";"full";"full_frac";"binary";"binary_frac";"parent"
"Agrofood Waste Cut";"Altrum Oy";"Helsinki-Uusimaa (FI1B)";"Oy Hitis Forell AB";"Etelä-Suomi (FI1C)";1;1;1;1;"Waste Cut"
"Circular Business";"Andritz Oy";"Helsinki-Uusimaa (FI1B)";"Metsä Fibre Oy";"Helsinki-Uusimaa (FI1B)";1;1;1;1;"Circular Models"
"Circular Business";"KURKELA, Esa Albert";"Helsinki-Uusimaa (FI1B)";"MATTI, Nieminen";"Helsinki-Uusimaa (FI1B)";1;0,0476190476190476;1;0,0476190476190476;"Circular Models"
"Circular Business";"KURKELA, Esa Albert";"Helsinki-Uusimaa (FI1B)";"MOL HUNGARIAN OIL AND GAS PUBLIC LIMITED COMPANY";"Közép-Magyarország (HU10)";1;0,0476190476190476;1;0,0476190476190476;"Circular Models"
"Circular Business";"MATTI, Nieminen";"Helsinki-Uusimaa (FI1B)";"MOL HUNGARIAN OIL AND GAS PUBLIC LIMITED COMPANY";"Közép-Magyarország (HU10)";1;0,0476190476190476;1;0,0476190476190476;"Circular Models"
"Circular Business";"KURKELA, Esa Albert";"Helsinki-Uusimaa (FI1B)";"LEVELES, László";"Közép-Magyarország (HU10)";1;0,0476190476190476;1;0,0476190476190476;"Circular Models"
"Circular Design";"YLÖSJOKI, Kalle";"Helsinki-Uusimaa (FI1B)";"YLÖSJOKI, Matti";"Helsinki-Uusimaa (FI1B)";1;1;1;1;"Circular Models"
"Circular Design";"Aalto University Foundation sr";"Helsinki-Uusimaa (FI1B)";"Helsingin Yliopisto";"Helsinki-Uusimaa (FI1B)";1;1;1;1;"Circular Models"
"Critical Metals Reuse";"MATTI, Nieminen";"Helsinki-Uusimaa (FI1B)";"MOL HUNGARIAN OIL AND GAS PUBLIC LIMITED COMPANY";"Közép-Magyarország (HU10)";1;0,0476190476190476;1;0,0476190476190476;"Industrial Loops"
"Critical Metals Reuse";"KURKELA, Esa Albert";"Helsinki-Uusimaa (FI1B)";"LEVELES, László";"Közép-Magyarország (HU10)";1;0,0476190476190476;1;0,0476190476190476;"Industrial Loops"
"Critical Metals Reuse";"KURKELA, Esa Albert";"Helsinki-Uusimaa (FI1B)";"MATTI, Nieminen";"Helsinki-Uusimaa (FI1B)";1;0,0476190476190476;1;0,0476190476190476;"Industrial Loops"
"Critical Metals Reuse";"KURKELA, Esa Albert";"Helsinki-Uusimaa (FI1B)";"MOL HUNGARIAN OIL AND GAS PUBLIC LIMITED COMPANY";"Közép-Magyarország (HU10)";1;0,0476190476190476;1;0,0476190476190476;"Industrial Loops"
"Critical Metals Reuse";"Andritz Oy";"Helsinki-Uusimaa (FI1B)";"Metsä Fibre Oy";"Helsinki-Uusimaa (FI1B)";1;1;1;1;"Industrial Loops"
