"domain";"from";"from_geo";"to";"to_geo";"full";"full_frac";"binary";"binary_frac";"parent"
"By-Product Valorization";"ALL SUN";"Normandie (FRD)";"TECHNI-TERRE";"Normandie (FRD)";1;1;1;1;"Industrial Loops"
"Circular Design";"Centre Hospitalier Universitaire de Rouen";"Normandie (FRD)";"Université de Rouen Normandie";"Normandie (FRD)";1;0,333333333333333;1;0,333333333333333;"Circular Models"
"Circular Design";"Centre Hospitalier Universitaire de Rouen";"Normandie (FRD)";"Institut National de la Santé et de la Recherche Médicale (INSERM)";"Île de France (FR10)";1;0,333333333333333;1;0,333333333333333;"Circular Models"
"Critical Metals Reuse";"Université de Caen Normandie";"Normandie (FRD)";"Universite de Rouen Normandie";"Normandie (FRD)";1;0,1;1;0,1;"Industrial Loops"
"Critical Metals Reuse";"Ecole Nationale Supérieure d'Ingénieurs de Caen";"Normandie (FRD)";"SAFT";"Île de France (FR10)";1;0,166666666666667;1;0,166666666666667;"Industrial Loops"
"Critical Metals Reuse";"Ecole Nationale Supérieure d'Ingénieurs de Caen";"Normandie (FRD)";"Universite de Rouen Normandie";"Normandie (FRD)";1;0,1;1;0,1;"Industrial Loops"
"Critical Metals Reuse";"Institut National Des Sciences Appliquées De Rouen";"Normandie (FRD)";"Universite de Rouen Normandie";"Normandie (FRD)";1;0,1;1;0,1;"Industrial Loops"
"Critical Metals Reuse";"Institut National Des Sciences Appliquées De Rouen";"Normandie (FRD)";"Université de Caen Normandie";"Normandie (FRD)";1;0,1;1;0,1;"Industrial Loops"
"Critical Metals Reuse";"ENSICAEN";"Normandie (FRD)";"SAFT";"Île de France (FR10)";1;0,166666666666667;1;0,166666666666667;"Industrial Loops"
"Critical Metals Reuse";"ENSICAEN";"Normandie (FRD)";"UNIVERSITE DE CAEN NORMANDIE";"Normandie (FRD)";1;0,166666666666667;1;0,166666666666667;"Industrial Loops"
"Critical Metals Reuse";"ALL SUN";"Normandie (FRD)";"TECHNI-TERRE";"Normandie (FRD)";1;1;1;1;"Industrial Loops"
"Critical Metals Reuse";"Ecole Nationale Supérieure d'Ingénieurs de Caen";"Normandie (FRD)";"Institut National Des Sciences Appliquées De Rouen";"Normandie (FRD)";1;0,1;1;0,1;"Industrial Loops"
"Critical Metals Reuse";"Ecole Nationale Supérieure d'Ingénieurs de Caen";"Normandie (FRD)";"Université de Caen Normandie";"Normandie (FRD)";3;0,6;3;0,6;"Industrial Loops"
"E-Waste Circularity";"ALL SUN";"Normandie (FRD)";"TECHNI-TERRE";"Normandie (FRD)";1;1;1;1;"Waste Cut"
"E-Waste Circularity";"Ecole Nationale Supérieure d'Ingénieurs de Caen";"Normandie (FRD)";"Université de Caen Normandie";"Normandie (FRD)";3;0,6;3;0,6;"Waste Cut"
"E-Waste Circularity";"Institut National Des Sciences Appliquées De Rouen";"Normandie (FRD)";"Universite de Rouen Normandie";"Normandie (FRD)";1;0,1;1;0,1;"Waste Cut"
"E-Waste Circularity";"Ecole Nationale Supérieure d'Ingénieurs de Caen";"Normandie (FRD)";"Universite de Rouen Normandie";"Normandie (FRD)";1;0,1;1;0,1;"Waste Cut"
"E-Waste Circularity";"Institut National Des Sciences Appliquées De Rouen";"Normandie (FRD)";"Université de Caen Normandie";"Normandie (FRD)";1;0,1;1;0,1;"Waste Cut"
"E-Waste Circularity";"Université de Caen Normandie";"Normandie (FRD)";"Universite de Rouen Normandie";"Normandie (FRD)";1;0,1;1;0,1;"Waste Cut"
"E-Waste Circularity";"ENSICAEN";"Normandie (FRD)";"SAFT";"Île de France (FR10)";1;0,166666666666667;1;0,166666666666667;"Waste Cut"
"E-Waste Circularity";"Ecole Nationale Supérieure d'Ingénieurs de Caen";"Normandie (FRD)";"Institut National Des Sciences Appliquées De Rouen";"Normandie (FRD)";1;0,1;1;0,1;"Waste Cut"
"E-Waste Circularity";"Ecole Nationale Supérieure d'Ingénieurs de Caen";"Normandie (FRD)";"SAFT";"Île de France (FR10)";1;0,166666666666667;1;0,166666666666667;"Waste Cut"
"E-Waste Circularity";"ENSICAEN";"Normandie (FRD)";"UNIVERSITE DE CAEN NORMANDIE";"Normandie (FRD)";1;0,166666666666667;1;0,166666666666667;"Waste Cut"
"Industrial Symbiosis";"ALL SUN";"Normandie (FRD)";"TECHNI-TERRE";"Normandie (FRD)";1;1;1;1;"Industrial Loops"
"Industrial Symbiosis";"Arianegroup";"Normandie (FRD)";"ENGIE";"Île de France (FR10)";1;1;1;1;"Industrial Loops"
"Industrial Symbiosis";"Ecole Nationale Supérieure d'Ingénieurs de Caen";"Normandie (FRD)";"SAFT";"Île de France (FR10)";2;0,333333333333334;2;0,333333333333334;"Industrial Loops"
