"reg","tech","rca","countpub","reldens","comp","count","dutch.reg"
"east","Engines, pumps, turbines",0.389189189189189,35,40.9659459459459,25.2,37,"east"
"east","Environmental technology",1.2445,7387,59.83225,24.65,80,"east"
"east","Food chemistry",0,0,83.8258227848101,20.91,158,"east"
"east","Furniture, games",0,0,48.0664556962025,18.02,79,"east"
"east","Green technologies",0.720135746606335,368,43.6289592760181,27.17,221,"east"
"east","Handling",1.70597826086957,2,47.7607065217391,3.8,184,"east"
"east","IT methods for management",0.233333333333333,1,14.6,55.98,6,"east"
"east","Machine tools",0,0,54.5031147540984,1.93,61,"east"
"east","Macromolecular chemistry, polymers",0.8272,92,77.9758666666667,4.28,150,"east"
"east","Materials, metallurgy",0.339275362318841,315,65.6310144927536,19.33,69,"east"
"east","Measurement",1.03615384615385,325,29.2853846153846,54.84,143,"east"
"east","Mechanical elements",0.729108910891089,191,43.3391089108911,14.17,101,"east"
"east","Medical technology",0,0,43.2285416666667,41.08,144,"east"
"east","Micro-structural and nano-technology",0.89125,2467,51.659375,42,16,"east"
"east","Optics",0.996315789473684,2092,34.6868421052632,45.39,38,"east"
"east","Organic fine chemistry",3.14189781021898,3,72.6678102189781,28.13,137,"east"
"east","Other consumer goods",0.746307692307692,6,56.2315384615385,23.01,65,"east"
"east","Other special machines",0,0,53.5662608695652,0,345,"east"
"east","Pharmaceuticals",0.991042944785276,13,73.4220245398773,40.46,163,"east"
"east","Semiconductors",0.663783783783784,100,40.7051351351351,55.41,74,"east"
"east","Surface technology, coating",0.745555555555556,152,59.2045679012346,3.88,81,"east"
"east","Telecommunications",0.829,679,12.837,97.24,30,"east"
"east","Textile and paper machines",0.296666666666667,18,65.26,5.66,69,"east"
"east","Thermal processes and apparatus",0.962564102564103,741,45.7538461538462,9.58,117,"east"
"east","Transport",0.956029411764706,370,32.6239705882353,23.23,136,"east"
