"reg","tech","rca","countpub","reldens","comp","count","dutch.reg"
"NL34","3D-printing/additive productie",6.99,2,22.94,51.56,3,"south"
"NL34","Advanced maintenance (CMMS)",0,0,17.26,54.36,0,"south"
"NL34","Artificial intelligence",0.75,21,5.22,24.95,0,"south"
"NL34","Bio-landbouw",0,0,63.76,37.94,3,"south"
"NL34","Biosensors",4.04,1,8.43,28.74,0,"south"
"NL34","Carbon Capture",6.98,1,30.42,56.55,0,"south"
"NL34","Digitale veiligheid",0.45,3,5.91,30.7,2,"south"
"NL34","Electrolizers voor Power2Molecule",0,0,43.11,44.46,1,"south"
"NL34","Elektrische mobiliteit - Battery technologies",0,0,23.19,49.68,1,"south"
"NL34","Elektrische mobiliteit - EV charging systems",0,0,29.43,60.07,0,"south"
"NL34","Energiebesparing hardware/datacenters - Photonic memory",0,0,16.92,38.45,0,"south"
"NL34","Energieopslag - Photovoltaic",14.11,2,34.25,37.87,2,"south"
"NL34","GMO",0,0,15.13,44.16,0,"south"
"NL34","Hernieuwbare energie - Composieten",0.83,12,41.44,49.06,10,"south"
"NL34","Hernieuwbare energie - Windturbines",3.94,2,23.97,32.62,0,"south"
"NL34","Klimaatbeheersing",0,0,15.82,52.07,2,"south"
"NL34","Medtech/beeldvorming",0,0,5.42,24.4,2,"south"
"NL34","Nano-medicine",0,0,15.32,31.29,0,"south"
"NL34","Personalised/precision medicine",0,0,4.23,20.1,0,"south"
"NL34","Precisielandbouw",0,0,60.57,63.75,0,"south"
"NL34","Recyclage",5.99,2,74.45,50.64,2,"south"
"NL34","Robotics - Autonomous robots",0,0,11.45,52.65,1,"south"
"NL34","Robotics - Robots",0,0,13.38,49.7,1,"south"
"NL34","Robotisering Chirurgie-opafstand",0,0,4.32,38.71,0,"south"
"NL34","Smart grids",0,0,25.21,44.86,2,"south"
"NL34","Super-labfoods",0,0,31.26,29.06,0,"south"
"NL34","Waste water treatment",10.14,6,61.46,39.15,3,"south"
"NL34","Zaadveredeling",30.23,3,13.11,53.83,0,"south"
