"id";"value";"share";"ctry"
"Maxell Ltd";27;0,09;"JP"
"Thomson Licensing";26;0,09;"FR"
"The Procter & Gamble Company";26;0,09;"US"
"Synaptive Medical (Barbados) Inc";26;0,09;"BB"
"Daqri Llc";26;0,09;"US"
"Interdigital Vc Holdings Inc";25;0,08;"US"
"F Hoffmann-La Roche Ag";25;0,08;"CH"
"Nec Laboratories America Inc";25;0,08;"US"
"Hoya Corporation";25;0,08;"JP"
"The Johns Hopkins University";25;0,08;"US"
"Sony Interactive Entertainment Llc";25;0,08;"US"
"Zoox Inc";25;0,08;"US"
"Nuance Communications Inc";25;0,08;"US"
"Conti Temic Microelectronic Gmbh";24;0,08;"DE"
"Beijing Boe Optoelectronics Technology Co Ltd";24;0,08;"CN"
"Symbol Technologies Llc";24;0,08;"US"
"Hitachi High-Technologies Corporation";24;0,08;"JP"
"Tsinghua University";24;0,08;"CN"
"Goertek Technology Co Ltd";24;0,08;"CN"
"Colopl Inc";24;0,08;"JP"
"Shenzhen Royole Technologies Co Ltd";24;0,08;"CN"
"Waymo Llc";24;0,08;"US"
"Shenzhen Institutes Of Advanced Technology Chinese";24;0,08;"CN"
"Koh Young Technology Inc";23;0,08;"KR"
"Siemens Mobility Gmbh";23;0,08;"DE"
"Nuctech Company Limited";23;0,08;"CN"
"Fuji-Film Corporation";23;0,08;"JP"
"Guangdong Virtual Reality Technology Co Ltd";23;0,08;"CN"
"Oxford University Innovation Limited";22;0,07;"UK"
"Panasonic Intellectual Property Corporation Of America";22;0,07;"US"
"Lg Innotek Co Ltd";22;0,07;"KR"
"Shenzhen Goodix Technology Co Ltd";22;0,07;"CN"
"Dalian University Of Technology";22;0,07;"CN"
"Jaguar Land Rover Limited";21;0,07;"UK"
"The Board Of Trustees Of The Leland Stanford Junior University";21;0,07;"US"
"Zhejiang University";21;0,07;"CN"
"Beijing Jingdong Century Trading Co Ltd";21;0,07;"CN"
"Illinois Tool Works Inc";20;0,07;"US"
"Align Technology Inc";20;0,07;"US"
"Halliburton Energy Services Inc";20;0,07;"US"
"Amazon Technologies Inc";20;0,07;"US"
"Valve Corporation";20;0,07;"US"
"Tornier Inc";20;0,07;"US"
"Wuyi University";20;0,07;"CN"
"Light Field Lab Inc";20;0,07;"US"
"Elekta Inc";19;0,06;"US"
"Baidu Online Network Technology (Beijing) Co Ltd";19;0,06;"CN"
"Fujifilm Toyama Chemical Co Ltd";19;0,06;"JP"
"Preferred Networks Inc";19;0,06;"JP"
"Continental Automotive Systems Inc";19;0,06;"US"
"Zebra Technologies Corporation";19;0,06;"US"
"Howmedica Osteonics Corp";19;0,06;"US"
"Smith & Nephew Inc";19;0,06;"US"
"Smith & Nephew Asia Pacific Pte Limited";19;0,06;"SG"
"Smith & Nephew Orthopaedics Ag";19;0,06;"CH"
"Carl Zeiss Microscopy Gmbh";18;0,06;"DE"
"Flir Systems Inc";18;0,06;"US"
"Shenzhen Mindray Bio-Medical Electronics Co Ltd";18;0,06;"CN"
"Beijing Jingdong Shangke Information Technology Co Ltd";18;0,06;"CN"
"Beijing Didi Infinity Technology And Development C";18;0,06;"CN"
"Shanghai Sensetime Intelligent Technology Co Ltd";18;0,06;"CN"
"Smith&Nephew Inc";18;0,06;"US"
"Carestream Dental Technology Topco Limited";17;0,06;"UK"
"Volume Graphics Gmbh";17;0,06;"DE"
"Dental Monitoring";17;0,06;"FR"
"Mobileye Vision Technologies Ltd";17;0,06;"IL"
"Massachusetts Institute Of Technology";17;0,06;"US"
"Gopro Inc";17;0,06;"US"
"Sumitomo Electric Industries Ltd";17;0,06;"JP"
"Equos Research Co Ltd";17;0,06;"JP"
"Medtronic Navigation Inc";17;0,06;"US"
"Rakuten Inc";17;0,06;"JP"
"Yamaha Hatsudoki Kabushiki Kaisha";17;0,06;"JP"
"Renault Sas";17;0,06;"FR"
"Shiseido Company Ltd";17;0,06;"JP"
"Semiconductor Energy Laboratory Co Ltd";17;0,06;"JP"
"Beijing Didi Infinity Technology And Development Co Ltd";17;0,06;"CN"
"Midea Group Co Ltd";17;0,06;"CN"
"Toyota Jidosha Kabushiki Kaisha";16;0,05;"JP"
"Seiko Epson Corporation";16;0,05;"JP"
"Beijing Zhigu Rui Tuo Tech Co Ltd";16;0,05;"CN"
"Jvc Kenwood Corporation";16;0,05;"JP"
"Osaka University";16;0,05;"JP"
"Huizhou Tcl Mobile Communication Co Ltd";16;0,05;"CN"
"Texas Instruments Incorporated";16;0,05;"US"
"The General Hospital Corporation";16;0,05;"US"
