"id";"value";"share";"ctry"
"Hewlett-Packard Development Company Lp";1294;11,17;"US"
"General Electric Company";269;2,32;"US"
"Siemens Aktiengesellschaft";166;1,43;"DE"
"3m Innovative Properties Company";111;0,96;"US"
"Carbon Inc";109;0,94;"US"
"Eos Gmbh Electro Optical Systems";91;0,79;"DE"
"Applied Materials Inc";83;0,72;"US"
"Stratasys Ltd";81;0,7;"IL"
"Siemens Energy Global Gmbh & Co Kg";79;0,68;"DE"
"Desktop Metal Inc";74;0,64;"US"
"Technology Research Association For Future Additive Manufacturing";72;0,62;"JP"
"Signify Holding Bv";66;0,57;"NL"
"Divergent Technologies Inc";64;0,55;"US"
"3d Systems Inc";62;0,54;"US"
"Addup";61;0,53;"FR"
"Basf Se";59;0,51;"DE"
"Robert Bosch Gmbh";59;0,51;"DE"
"Canon Kabushiki Kaisha";58;0,5;"JP"
"Arconic Inc";58;0,5;"US"
"Sabic Global Technologies Bv";57;0,49;"NL"
"Renishaw Plc";49;0,42;"UK"
"Lawrence Livermore National Security Llc";49;0,42;"US"
"Arcam Ab";48;0,41;"SE"
"Nike Innovate Cv";47;0,41;"US"
"Arkema France";45;0,39;"FR"
"Nikon Corporation";41;0,35;"JP"
"Trumpf Laser- Und Systemtechnik Gmbh";39;0,34;"DE"
"Covestro Deutschland Ag";39;0,34;"DE"
"Cc3d Llc";38;0,33;"US"
"Hitachi Ltd";37;0,32;"JP"
"Solvay Specialty Polymers Usa Llc";37;0,32;"US"
"Massachusetts Institute Of Technology";35;0,3;"US"
"Raytheon Company";35;0,3;"US"
"Slm Solutions Group Ag";34;0,29;"DE"
"Safran Aircraft Engines";32;0,28;"FR"
"President And Fellows Of Harvard College";32;0,28;"US"
"Jabil Inc";32;0,28;"US"
"Formlabs Inc";31;0,27;"US"
"Essilor International";31;0,27;"FR"
"Fraunhofer-Gesellschaft Zur F„∂Rderung Der Angewandten Forschung Ev";30;0,26;"DE"
"Mimaki Engineering Co Ltd";30;0,26;"JP"
"Nlight Inc";30;0,26;"US"
"Materialise Nv";29;0,25;"BE"
"Voxeljet Ag";29;0,25;"DE"
"Cl Schutzrechtsverwaltungs Gmbh";28;0,24;"DE"
"Mitsubishi Electric Corporation";28;0,24;"JP"
"Stratasys Inc";27;0,23;"US"
"Centre National De La Recherche Scientifique";27;0,23;"FR"
"Siemens Industry Software Inc";27;0,23;"US"
"Align Technology Inc";27;0,23;"US"
"Hitachi Metals Ltd";27;0,23;"JP"
"The Regents Of The University Of California";26;0,22;"US"
"Ricoh Company Ltd";26;0,22;"JP"
"Mitsubishi Heavy Industries Ltd";26;0,22;"JP"
"Compagnie G„©N„©Rale Des Etablissements Michelin";25;0,22;"FR"
"Velo3d Inc";25;0,22;"US"
"Mtu Aero Engines Ag";24;0,21;"DE"
"Halliburton Energy Services Inc";24;0,21;"US"
"Maxell Holdings Ltd";24;0,21;"JP"
"Zhuhai Sailner 3d Technology Co Ltd";23;0,2;"CN"
"Continuous Composites Inc";22;0,19;"US"
"Caterpillar Inc";21;0,18;"US"
"Lg Chem Ltd";21;0,18;"KR"
"Dentsply Sirona Inc";20;0,17;"US"
"Bridgestone Corporation";20;0,17;"JP"
"Arevo Inc";20;0,17;"US"
"Evolve Additive Solutions Inc";20;0,17;"US"
"Koninklijke Philips Nv";19;0,16;"NL"
"Ut-Battelle Llc";19;0,16;"US"
"Dsm Ip Assets Bv";19;0,16;"NL"
"Print-Rite Unicorn Image Products Co Ltd Of Zhu";19;0,16;"CN"
"Wacker Chemie Ag";18;0,16;"DE"
"Markforged Inc";18;0,16;"US"
"Mitsubishi Chemical Corporation";18;0,16;"JP"
"Thermwood Corporation";18;0,16;"US"
"Fuji Corporation";18;0,16;"JP"
"Seurat Technologies Inc";18;0,16;"US"
"Fisher Controls International Llc";18;0,16;"US"
"South China University Of Technology";18;0,16;"CN"
"Dws Srl";17;0,15;"IT"
"Northwestern University";17;0,15;"US"
"Hrl Laboratories Llc";17;0,15;"US"
"Siemens Energy Inc";17;0,15;"US"
"Shpp Global Technologies Bv";17;0,15;"NL"
"Safran";17;0,15;"FR"
"Nanyang Technological University";17;0,15;"SG"
"Sirona Dental Systems Gmbh";17;0,15;"DE"
"Kabushiki Kaisha Kobe Seiko Sho (Kobe Steel Ltd)";17;0,15;"JP"
"Dow Global Technologies Llc";16;0,14;"US"
"Corning Incorporated";16;0,14;"US"
"The Procter & Gamble Company";16;0,14;"US"
"Aim3d Gmbh";16;0,14;"DE"
"Linde Gmbh";16;0,14;"DE"
"Postprocess Technologies Inc";16;0,14;"US"
"Heraeus Additive Manufacturing Gmbh";16;0,14;"DE"
"Ihi Corporation";16;0,14;"JP"
"Warsaw Orthopedic Inc";16;0,14;"US"
"Siemens Energy Global Gmbh&Co Kg";16;0,14;"DE"
"Exone Gmbh";15;0,13;"DE"
"Additive Industries Bv";15;0,13;"NL"
"Lg Electronics Inc";15;0,13;"KR"
"Cellink Ab";15;0,13;"SE"
"Sony Corporation";15;0,13;"JP"
"Sika Technology Ag";15;0,13;"CH"
"Bae Systems Plc";15;0,13;"UK"
"Lpw Technology Ltd";15;0,13;"UK"
"C-Tec Constellium Technology Center";15;0,13;"FR"
"The Exone Company";14;0,12;"US"
"Microsoft Technology Licensing Llc";14;0,12;"US"
"Saudi Arabian Oil Company";14;0,12;"SA"
"Kabushiki Kaisha Toshiba";14;0,12;"JP"
"Kao Corporation";14;0,12;"JP"
"Agency For Science Technology And Research";14;0,12;"SG"
"Covestro Intellectual Property Gmbh & Co Kg";14;0,12;"DE"
"Konica Minolta Inc";14;0,12;"JP"
"Planmeca Oy";14;0,12;"FI"
"Nederlandse Organisatie Voor Toegepast- Natuurwetenschappelijk Onderzoek Tno";13;0,11;"NL"
"Huazhong University Of Science And Technology";13;0,11;"CN"
"Board Of Regents The University Of Texas System";13;0,11;"US"
"Bigrep Gmbh";13;0,11;"DE"
"Bayerische Motoren Werke Aktiengesellschaft";13;0,11;"DE"
"Dow Silicones Corporation";12;0,1;"US"
"Seiko Epson Corporation";12;0,1;"JP"
"Dmg Mori Co Ltd";12;0,1;"JP"
"Revotek Co Ltd";12;0,1;"CN"
"Evonik Operations Gmbh";12;0,1;"DE"
"L'oreal";12;0,1;"FR"
"T&R Biofab Co Ltd";12;0,1;"KR"
"Nano-Dimension Technologies Ltd";12;0,1;"IL"
"Safran Helicopter Engines";12;0,1;"FR"
"Korea Electronics Technology Institute";12;0,1;"KR"
"Xaar 3d Limited";12;0,1;"UK"
"Essentium Inc";12;0,1;"US"
"Kraussmaffei Technologies Gmbh";12;0,1;"DE"
"Bond High Performance 3d Technology Bv";11;0,09;"NL"
"Northrop Grumman Systems Corporation";11;0,09;"US"
"Nexa3d Inc";11;0,09;"US"
"Io Tech Group Ltd";11;0,09;"UK"
"Virginia Tech Intellectual Properties Inc";11;0,09;"US"
"Ethicon Llc";11;0,09;"PR"
"Fraunhofer-Gesellschaft Zur F„ñRderung Der Angewand";11;0,09;"DE"
"Norsk Titanium As";11;0,09;"NO"
"Ppg Industries Ohio Inc";10;0,09;"US"
"Sony Group Corporation";10;0,09;"JP"
"Luxexcel Holding Bv";10;0,09;"NL"
"Fujifilm Corporation";10;0,09;"JP"
"Mutoh Industries Ltd";10;0,09;"JP"
