"id";"value";"share";"ctry"
"The Procter & Gamble Company";56;0,68;"US"
"Eastman Chemical Company";49;0,59;"US"
"Shanghai Bixiufu Enterprise Management Co Ltd";45;0,54;"CN"
"Denso Corporation";39;0,47;"JP"
"Vitesco Technologies Gmbh";39;0,47;"DE"
"Unicharm Corporation";37;0,45;"JP"
"Robert Bosch Gmbh";37;0,45;"DE"
"Taiheiyo Cement Corporation";33;0,4;"JP"
"Sabic Global Technologies Bv";30;0,36;"NL"
"Shenzhen Wisdom Energy Technology Company";30;0,36;"CN"
"Jx Nippon Mining & Metals Corporation";29;0,35;"JP"
"Scania Cv Ab";29;0,35;"SE"
"Basf Se";28;0,34;"DE"
"Cummins Emission Solutions Inc";27;0,33;"US"
"Northeastern University";26;0,31;"CN"
"Edwards Limited";25;0,3;"UK"
"Honeywell International Inc";21;0,25;"US"
"Psa Automobiles Sa";21;0,25;"FR"
"Shenzhen Energy Environmental Engineering Co Ltd";21;0,25;"CN"
"Continental Automotive Gmbh";21;0,25;"DE"
"Centre National De La Recherche Scientifique";19;0,23;"FR"
"Monosol Llc";19;0,23;"US"
"Kuraray Co Ltd";18;0,22;"JP"
"Mitsubishi Heavy Industries Ltd";18;0,22;"JP"
"Lg Chem Ltd";18;0,22;"KR"
"Cummins Inc";18;0,22;"US"
"Isuzu Motors Limited";18;0,22;"JP"
"Thyssenkrupp Ag";16;0,19;"DE"
"Carbios";16;0,19;"FR"
"Hitachi Zosen Corporation";15;0,18;"JP"
"Dow Global Technologies Llc";15;0,18;"US"
"Saudi Arabian Oil Company";15;0,18;"SA"
"Fujian Nashida Electronic Incorporated Company";14;0,17;"CN"
"Halliburton Energy Services Inc";14;0,17;"US"
"Toyota Jidosha Kabushiki Kaisha";14;0,17;"JP"
"Voith Patent Gmbh";14;0,17;"DE"
"The Procter&Gamble Company";13;0,16;"US"
"Beijing University Of Technology";13;0,16;"CN"
"Fraunhofer-Gesellschaft Zur F„∂Rderung Der Angewandten Forschung Ev";13;0,16;"DE"
"Kao Corporation";13;0,16;"JP"
"Shimose Microbes Laboratory Corporation";13;0,16;"JP"
"Tokuyama Corporation";13;0,16;"JP"
"Sumitomo Metal Mining Co Ltd";13;0,16;"JP"
"Seiko Epson Corporation";12;0,14;"JP"
"Tsinghua University";12;0,14;"CN"
"Lenzing Aktiengesellschaft";12;0,14;"AT"
"Volkswagen Aktiengesellschaft";12;0,14;"DE"
"Resinate Materials Group Inc";12;0,14;"US"
"Chevron Usa Inc";12;0,14;"US"
"Ifp Energies Nouvelles";12;0,14;"FR"
"Solvay Sa";12;0,14;"BE"
"South China University Of Technology";12;0,14;"CN"
"Unilever Plc";11;0,13;"UK"
"Unilever Nv";11;0,13;"NL"
"Holcim Technology Ltd";11;0,13;"CH"
"Mitsubishi Materials Corporation";11;0,13;"JP"
"Exxonmobil Research And Engineering Company";11;0,13;"US"
"Fertinagro Biotech Sl";11;0,13;"ES"
"Watlow Electric Manufacturing Company";11;0,13;"US"
"Commissariat √† L'„âNergie Atomique Et Aux √âNergies Alternatives";10;0,12;"FR"
"Le Guoqiang";10;0,12;"CN"
"Valerio Thomas A";10;0,12;"US"
"Borealis Ag";10;0,12;"AT"
"United States Gypsum Company";10;0,12;"US"
"Sekisui Chemical Co Ltd";10;0,12;"JP"
"Mitsubishi Chemical Corporation";10;0,12;"JP"
"Vericool Inc";10;0,12;"US"
"Carrier Corporation";10;0,12;"US"
"Umicore";10;0,12;"BE"
"Renault Sas";10;0,12;"FR"
"Kemira Oyj";10;0,12;"FI"
"Bayerische Motoren Werke Aktiengesellschaft";10;0,12;"DE"
"Suez Groupe";9;0,11;"FR"
"Mitsubishi Heavy Industries Environmental & Chemical Engineering Co Ltd";9;0,11;"JP"
"Ebara Environmental Plant Co Ltd";9;0,11;"JP"
"Attero Recycling Pvt Ltd";9;0,11;"IN"
"Thyssenkrupp Industrial Solutions Ag";9;0,11;"DE"
"Geo-Tech Polymers Llc";9;0,11;"US"
"Greenmantra Recycling Technologies Ltd";9;0,11;"CA"
"Furukawa Electric Co Ltd";9;0,11;"JP"
"Wincor Nixdorf International Gmbh";9;0,11;"DE"
"National University Of Singapore";9;0,11;"SG"
"Jfe Steel Corporation";9;0,11;"JP"
"The Regents Of The University Of California";9;0,11;"US"
"Novelis Inc";9;0,11;"US"
"Outotec (Finland) Oy";9;0,11;"FI"
"Posco";9;0,11;"KR"
"China Enfi Engineering Corporation";9;0,11;"CN"
"Wang Shen";9;0,11;"CN"
"Cool Planet Energy Systems Inc";9;0,11;"US"
"Pivot Bio Inc";9;0,11;"US"
"Locus Ip Company Llc";9;0,11;"US"
"Weber-Stephen Products Llc";9;0,11;"US"
"Huang Anwu";9;0,11;"CN"
"Maricap Oy";8;0,1;"FI"
"Rubicon Global Holdings Llc";8;0,1;"US"
"Anaergia Inc";8;0,1;"CA"
"Institute For Advanced Engineering";8;0,1;"KR"
"Ioniqa Technologies Bv";8;0,1;"NL"
"Rapid Granulator Ab";8;0,1;"SE"
"The Hong Kong Research Institute Of Textiles And A";8;0,1;"HK"
"Arkema France";8;0,1;"FR"
"Huhtamaki Molded Fiber Technology Bv";8;0,1;"NL"
"Nippon Steel Corporation";8;0,1;"JP"
"The Chugoku Electric Power Co Inc";8;0,1;"JP"
"Eni Spa";8;0,1;"IT"
"Kurita Water Industries Ltd";8;0,1;"JP"
"Shell Internationale Research Maatschappij Bv";8;0,1;"NL"
"Metallo Belgium";8;0,1;"BE"
"Volvo Truck Corporation";8;0,1;"SE"
"Oshkosh Corporation";7;0,08;"US"
"Xiang Sunshou";7;0,08;"CN"
"Wang Caixia";7;0,08;"CN"
"Lishui Institute Of Ecology And Environment Nanjin";7;0,08;"CN"
"Hitachi Chemical Co Ltd";7;0,08;"JP"
"Newsouth Innovations Pty Limited";7;0,08;"AU"
"Ineos Styrolution Group Gmbh";7;0,08;"DE"
"General Electric Company";7;0,08;"US"
"Vecor Ip Holdings Limited";7;0,08;"HK"
"Teknologian Tutkimuskeskus Vtt Oy";7;0,08;"FI"
"Qingdao University Of Technology";7;0,08;"CN"
"Massachusetts Institute Of Technology";7;0,08;"US"
"True Organic Products Inc";7;0,08;"US"
"Zhaoyuan Huichao New Energy Technology Co Ltd";7;0,08;"CN"
"Kanken Techno Co Ltd";7;0,08;"JP"
"Plastic Omnium Advanced Innovation And Research";7;0,08;"BE"
"Continental Automotive France";7;0,08;"FR"
"Aladdin Manufacturing Corporation";6;0,07;"US"
"Previero N Srl";6;0,07;"IT"
"Imertech Sas";6;0,07;"FR"
"Commissariat √† L'„©Nergie Atomique Et Aux √©Nergies Alternatives";6;0,07;"FR"
"Tomra Systems Asa";6;0,07;"NO"
"Toray Industries Inc";6;0,07;"JP"
"Henkel Ag & Co Kgaa";6;0,07;"DE"
"Kaneka Corporation";6;0,07;"JP"
"Sumitomo Osaka Cement Co Ltd";6;0,07;"JP"
"Mitsubishi Power Ltd";6;0,07;"JP"
"Worcester Polytechnic Institute";6;0,07;"US"
"Aqua Metals Inc";6;0,07;"US"
"Hanergy New Material Technology Co Ltd";6;0,07;"CN"
"Reliance Industries Limited";6;0,07;"IN"
"Anellotech Inc";6;0,07;"US"
"Agro Innovation International";6;0,07;"FR"
"Sawant Arun Vitthal";6;0,07;"IN"
"Sumitomo Heavy Industries Ltd";6;0,07;"JP"
"Guangdong University Of Technology";6;0,07;"CN"
"Chugai Ro Co Ltd";6;0,07;"JP"
"D„ºRr Systems Ag";6;0,07;"DE"
"Deep Isolation Inc";6;0,07;"US"
"Daimler Ag";6;0,07;"DE"
"Serio-Us Industries Inc";5;0,06;"US"
"Airbus Operations Gmbh";5;0,06;"DE"
"Edgewell Personal Care Brands Llc";5;0,06;"US"
"Nguyen Chi Co Ltd";5;0,06;"VN"
"Shanghai Townew Intelligent Technology Co Ltd";5;0,06;"CN"
"The Heil Co";5;0,06;"US"
"Sun Chemical Corporation";5;0,06;"US"
"Zibo Creation Of Mechanical And Electrical Technol";5;0,06;"CN"
"Next Generation Recyclingmaschinen Gmbh";5;0,06;"AT"
"Hydro Aluminium Rolled Products Gmbh";5;0,06;"DE"
"Essman John S";5;0,06;"US"
"Smith Chad C";5;0,06;"US"
"Whaley Ronald L";5;0,06;"US"
"Fater Spa";5;0,06;"IT"
"Exxonmobil Chemical Patents Inc";5;0,06;"US"
"The Nippon Synthetic Chemical Industry Co Ltd";5;0,06;"JP"
