"id";"value";"share";"ctry"
"Abb Power Grids Switzerland Ag";11;0,09;"CH"
"Telefonaktiebolaget Lm Ericsson (Publ)";11;0,09;"SE"
"Fraunhofer-Gesellschaft Zur F„∂Rderung Der Angewandten Forschung Ev";11;0,09;"DE"
"Zumtobel Lighting Gmbh";11;0,09;"AT"
"Guardian Glass Llc";11;0,09;"US"
"Dialog Semiconductor (Uk) Limited";11;0,09;"UK"
"Suzhou Opple Lighting Co Ltd";11;0,09;"CN"
"Agc Vidros Do Brasil Ltda";11;0,09;"BR"
"Agc Flat Glass North America Inc";11;0,09;"US"
"Dyson Technology Limited";10;0,08;"UK"
"Massachusetts Institute Of Technology";10;0,08;"US"
"Mitsubishi Electric Home Appliance Co Ltd";10;0,08;"JP"
"Ideal Industries Lighting Llc";10;0,08;"US"
"Sabic Global Technologies Bv";10;0,08;"NL"
"Gooee Limited";10;0,08;"UK"
"Gd Midea Heating & Ventilating Equipment Co Ltd";10;0,08;"CN"
"Mornsun Guangzhou Science & Technology Co Ltd";10;0,08;"CN"
"Lancium Llc";10;0,08;"US"
"Arcelormittal";9;0,07;"LU"
"Kone Corporation";9;0,07;"FI"
"Grundfos Holding A/S";9;0,07;"DK"
"Valeo Siemens Eautomotive France Sas";9;0,07;"FR"
"Siemens Industry Inc";9;0,07;"US"
"Electricit„© De France";9;0,07;"FR"
"Nippon Sheet Glass Company Limited";9;0,07;"JP"
"Silicon Hill Bv";9;0,07;"NL"
"Delight Innovative Technologies Limited";9;0,07;"HK"
"Landis+Gyr Innovations Inc";9;0,07;"US"
"Hyosung Heavy Industries Corporation";9;0,07;"KR"
"State Grid Corporation Of China";9;0,07;"CN"
"Sumitomo Wiring Systems Ltd";9;0,07;"JP"
"Autonetworks Technologies Ltd";9;0,07;"JP"
"Raytheon Company";9;0,07;"US"
"Shenzhen Skyworth-Rgb Electronic Co Ltd";9;0,07;"CN"
"Beijing Xiaomi Mobile Software Co Ltd";9;0,07;"CN"
"Lg Chem Ltd";9;0,07;"KR"
"Guangdong Oppo Mobile Telecommunications Corp Lt";9;0,07;"CN"
"Qingdao Haier Refrigerator Co Ltd";9;0,07;"CN"
"Ebm-Papst Mulfingen Gmbh & Co Kg";8;0,07;"DE"
"Battelle Memorial Institute";8;0,07;"US"
"General Electric Technology Gmbh";8;0,07;"CH"
"Siemens Mobility Gmbh";8;0,07;"DE"
"Enphase Energy Inc";8;0,07;"US"
"Hitachi Automotive Systems Ltd";8;0,07;"JP"
"Cree Inc";8;0,07;"US"
"Dai Nippon Printing Co Ltd";8;0,07;"JP"
"Fl„§Ktgroup Sweden Ab";8;0,07;"SE"
"Honeywell International Inc";8;0,07;"US"
"Siemens Gamesa Renewable Energy A/S";8;0,07;"DK"
