"id";"value";"share";"ctry"
"Westinghouse Electric Company Llc";115;6,34;"US"
"Framatome Gmbh";50;2,75;"DE"
"Ge-Hitachi Nuclear Energy Americas Llc";46;2,53;"US"
"Framatome";43;2,37;"FR"
"Korea Hydro & Nuclear Power Co Ltd";42;2,31;"KR"
"Cgn Power Co Ltd";42;2,31;"CN"
"Mitsubishi Heavy Industries Ltd";40;2,2;"JP"
"China General Nuclear Power Corporation";38;2,09;"CN"
"Terrapower Llc";34;1,87;"US"
"Tokamak Energy Ltd";33;1,82;"UK"
"Kepco Nuclear Fuel Co Ltd";30;1,65;"KR"
"Hitachi-Ge Nuclear Energy Ltd";30;1,65;"JP"
"Korea Atomic Energy Research Institute";29;1,6;"KR"
"Nuscale Power Llc";27;1,49;"US"
"China Nuclear Power Technology Research Institute Co Ltd";25;1,38;"CN"
"China Nuclear Power Engineering Co Ltd";23;1,27;"CN"
"Westinghouse Electric Sweden Ab";20;1,1;"SE"
"Hitachi Ltd";18;0,99;"JP"
"Commissariat √† L'„âNergie Atomique Et Aux √âNergies Alternatives";17;0,94;"FR"
"China General Nuclear Power Group";17;0,94;"CN"
"Korea Hydro&Nuclear Power Co Ltd";16;0,88;"KR"
"Electricit„© De France";15;0,83;"FR"
"Candu Energy Inc";15;0,83;"CA"
"State Atomic Energy Corporation 'Rosatom' On Behalf Of The Russian Federation";15;0,83;"RU"
"China Nuclear Power Engineering Company Ltd";14;0,77;"CN"
"China General Nuclear Power Co Ltd";13;0,72;"CN"
"Tsinghua University";13;0,72;"CN"
"China Nuclear Power Technology Research Institute";13;0,72;"CN"
"Ih Ip Holdings Limited";12;0,66;"JE"
"China Nuclear Power Design Company Ltd (Shenzhen)";12;0,66;"CN"
"Joint Stock Company 'Atomenergoproekt'";11;0,61;"RU"
"Soci„©T„© Technique Pour L'energie Atomique";11;0,61;"FR"
"Joint-Stock Company 'Tvel'";11;0,61;"RU"
"Bwxt Advanced Technologies Llc";11;0,61;"US"
"Holtec International";10;0,55;"US"
"Mitsubishi Electric Corporation";10;0,55;"JP"
"Tae Technologies Inc";10;0,55;"US"
"Elysium Industries Ltd";10;0,55;"CA"
"Elysium Industries Ltd";10;0,55;"US"
"Joint Stock Company 'Akme-Engineering'";9;0,5;"RU"
"Ultra Safe Nuclear Corporation";9;0,5;"US"
"Alpha Ring International Ltd";9;0,5;"KY"
"King Abdullah City For Atomic And Renewable Energy";9;0,5;"SA"
"Alpha Ring International Ltd";9;0,5;"US"
"Framatome Inc";8;0,44;"US"
"Battelle Energy Alliance Llc";8;0,44;"US"
"Commissariat √† L'energie Atomique Et Aux Energies Alternatives";8;0,44;"FR"
"Joint Stock Company 'Science And Innovations'";8;0,44;"RU"
"Guangdong Nuclear Power Joint Venture Co Ltd";8;0,44;"CN"
"General Fusion Inc";7;0,39;"CA"
"Moon In Dug";7;0,39;"KR"
"Brilliant Light Power Inc";7;0,39;"US"
"Joint-Stock Company Scientific Research And Design Institute For Energy Technologies Atomproekt";7;0,39;"RU"
"Scott Ian Richard";6;0,33;"UK"
"Areva Inc";6;0,33;"US"
"Abb Power Grids Switzerland Ag";6;0,33;"CH"
"Hydromine Nuclear Energy Sarl";6;0,33;"LU"
"Cng Power Co Ltd";6;0,33;"CN"
"Joint Stock Company 'Experimental And Design Organisation 'Gidropress' Awarded The Order Of The Red Banner Of Labour And Czsr";6;0,33;"RU"
"Atomic Energy Of Canada Limited/ √âNergie Atomique Du Canada Limit„©E";6;0,33;"CA"
"Mitsubishi Power Ltd";6;0,33;"JP"
"Joint Stock Company 'Rosenergoatom'";6;0,33;"RU"
"Orano Cycle";5;0,28;"FR"
"Filippone Claudio";5;0,28;"US"
"Mitsubishi Hitachi Power Systems Ltd";5;0,28;"JP"
"Bwxt Nuclear Energy Inc";5;0,28;"US"
"Drexler Jerome";5;0,28;"US"
"Westinghouse Electric Germany Gmbh";4;0,22;"DE"
"Areva Np";4;0,22;"FR"
"Ibiden Co Ltd";4;0,22;"JP"
"Publichnoe Aktsionernoe Obschestvo 'Mashinostroitel'niy Zavod'";4;0,22;"RU"
"Riton Holding Ltd";4;0,22;"VG"
"Blykalla Reaktorer Stockholm Ab";4;0,22;"SE"
"Clear Inc";4;0,22;"JP"
"China Guangdong Nuclear Power Holding";4;0,22;"CN"
"Skoda Js As";4;0,22;"CZ"
"Terrestrial Energy Inc";4;0,22;"CA"
"China Guangdong Nuclear Power Holding Corporation";4;0,22;"CN"
"Abb Schweiz Ag";4;0,22;"CH"
"Wisconsin Alumni Research Foundation";4;0,22;"US"
"Korea Advanced Institute Of Science And Technology";4;0,22;"KR"
"Industrial Heat Llc";4;0,22;"US"
"Bwxt Isotope Technology Group Inc";4;0,22;"US"
"Ganesan Palvannanathan";4;0,22;"US"
"L'air Liquide Societe Anonyme Pour L'etude Et L'e";4;0,22;"FR"
"Tn International";3;0,17;"FR"
"Areva Np Sas";3;0,17;"FR"
"Areva Gmbh";3;0,17;"DE"
"Kabushiki Kaisha Toshiba";3;0,17;"JP"
"Hamamatsu Photonics Kk";3;0,17;"JP"
"Asml Netherlands Bv";3;0,17;"NL"
"Ihi Corporation";3;0,17;"JP"
"Bwxt Mpower Inc";3;0,17;"US"
"Tn Americas Llc";3;0,17;"US"
"Yu Jie";3;0,17;"CN"
"Centrum Vyzkumu Rez Sro";3;0,17;"CZ"
"Advanced Reactor Concepts Llc";3;0,17;"US"
"Lin Xishi";3;0,17;"CN"
"Federal State Unitary Enterprise 'All - Russian Research Institute Of Automatics'";3;0,17;"RU"
"Zaryugin Denis Gennadyevich";3;0,17;"RU"
"Dominion Engineering Inc";3;0,17;"US"
"Letts Dennis G";3;0,17;"US"
"Siempelkamp Nis Ingenieurgesellschaft Mbh";3;0,17;"DE"
"Commissariat √† L'„©Nergie Atomique Et Aux √©Nergies Alternatives";3;0,17;"FR"
