"reg","tech","count","rca","reldens","comp","dutch.reg"
"NL31","Analysis of biological materials",46,1.95,43.79,34.97,"west"
"NL32","Analysis of biological materials",40,1.21,50.59,34.97,"west"
"NL33","Analysis of biological materials",67,1.27,79.73,34.97,"west"
"NL23","Analysis of biological materials",0,0,50.44,34.97,"west"
"NL33","Audio-visual technology",95,1.12,27.3,72.35,"west"
"NL23","Audio-visual technology",0,0,20.31,72.35,"west"
"NL31","Audio-visual technology",27,0.71,14.43,72.35,"west"
"NL32","Audio-visual technology",67,1.27,24.2,72.35,"west"
"NL23","Basic communication processes",0,0,18.9,82.4,"west"
"NL33","Basic communication processes",19,0.64,35.38,82.4,"west"
"NL32","Basic communication processes",6,0.32,27.03,82.4,"west"
"NL31","Basic communication processes",3,0.22,5.93,82.4,"west"
"NL23","Basic materials chemistry",12,1.97,74.01,12.17,"west"
"NL31","Basic materials chemistry",48,0.86,38.79,12.17,"west"
"NL33","Basic materials chemistry",174,1.39,38.98,12.17,"west"
"NL32","Basic materials chemistry",127,1.63,51.32,12.17,"west"
"NL31","Biotechnology",220,3.59,70.44,36.76,"west"
"NL23","Biotechnology",9,1.34,70.03,36.76,"west"
"NL33","Biotechnology",309,2.26,83.42,36.76,"west"
"NL32","Biotechnology",166,1.94,79.4,36.76,"west"
"NL23","Chemical engineering",10,1.36,58.68,18.36,"west"
"NL33","Chemical engineering",164,1.09,55.07,18.36,"west"
"NL32","Chemical engineering",132,1.4,45.6,18.36,"west"
"NL31","Chemical engineering",83,1.23,43.67,18.36,"west"
"NL33","Civil engineering",209,1.52,35.35,13.72,"west"
"NL32","Civil engineering",96,1.12,35.71,13.72,"west"
"NL31","Civil engineering",62,1,24.7,13.72,"west"
"NL23","Civil engineering",12,1.78,42.98,13.72,"west"
"NL33","Computer technology",150,0.66,32.17,88.39,"west"
"NL32","Computer technology",169,1.2,20.25,88.39,"west"
"NL31","Computer technology",49,0.48,12.88,88.39,"west"
"NL23","Computer technology",5,0.45,11.09,88.39,"west"
"NL31","Control",22,0.4,19.63,46.7,"west"
"NL23","Control",0,0,19.04,46.7,"west"
"NL33","Control",42,0.34,35.25,46.7,"west"
"NL32","Control",61,0.79,33.4,46.7,"west"
"NL33","Digital communication",130,0.67,17.74,100,"west"
"NL32","Digital communication",70,0.58,30.08,100,"west"
"NL31","Digital communication",30,0.34,4.05,100,"west"
"NL23","Digital communication",3,0.31,6.64,100,"west"
"NL31","Electrical machinery, apparatus, energy",48,0.39,18.45,30.49,"west"
"NL33","Electrical machinery, apparatus, energy",190,0.7,48.53,30.49,"west"
"NL32","Electrical machinery, apparatus, energy",70,0.41,26.43,30.49,"west"
"NL23","Electrical machinery, apparatus, energy",3,0.23,43.72,30.49,"west"
"NL31","Engines, pumps, turbines",23,0.43,23.81,25.2,"west"
"NL23","Engines, pumps, turbines",1,0.17,62.76,25.2,"west"
"NL33","Engines, pumps, turbines",75,0.63,53.36,25.2,"west"
"NL32","Engines, pumps, turbines",45,0.61,22.34,25.2,"west"
"NL32","Environmental technology",38,0.94,51.86,24.65,"west"
"NL31","Environmental technology",42,1.45,43.05,24.65,"west"
"NL23","Environmental technology",4,1.26,65.06,24.65,"west"
"NL33","Environmental technology",69,1.07,62.31,24.65,"west"
"NL33","Food chemistry",160,3.17,71.82,20.91,"west"
"NL31","Food chemistry",131,5.79,66.67,20.91,"west"
"NL32","Food chemistry",105,3.33,80.58,20.91,"west"
"NL23","Food chemistry",13,5.26,76.98,20.91,"west"
"NL32","Furniture, games",65,1.27,39.49,18.02,"west"
"NL31","Furniture, games",65,1.77,35.51,18.02,"west"
"NL33","Furniture, games",71,0.87,46.02,18.02,"west"
"NL23","Furniture, games",2,0.5,40.91,18.02,"west"
"NL31","Green technologies",92,0.74,28.13,27.17,"west"
"NL23","Green technologies",14,1.04,42.71,27.17,"west"
"NL32","Green technologies",157,0.91,36.75,27.17,"west"
"NL33","Green technologies",397,1.44,38.49,27.17,"west"
"NL23","Handling",6,0.83,39.12,3.8,"west"
"NL31","Handling",80,1.21,22.72,3.8,"west"
"NL32","Handling",135,1.47,37.19,3.8,"west"
"NL33","Handling",171,1.16,33.98,3.8,"west"
"NL32","IT methods for management",27,0.9,35.93,55.98,"west"
"NL31","IT methods for management",12,0.56,12.42,55.98,"west"
"NL33","IT methods for management",25,0.52,22.68,55.98,"west"
"NL23","IT methods for management",0,0,11.26,55.98,"west"
"NL33","Machine tools",29,0.26,45.98,1.93,"west"
"NL32","Machine tools",43,0.62,50.61,1.93,"west"
"NL23","Machine tools",1,0.18,46.46,1.93,"west"
"NL31","Machine tools",15,0.3,25.37,1.93,"west"
"NL23","Macromolecular chemistry, polymers",13,2.72,72.83,4.28,"west"
"NL31","Macromolecular chemistry, polymers",28,0.64,25.34,4.28,"west"
"NL33","Macromolecular chemistry, polymers",57,0.58,59.93,4.28,"west"
"NL32","Macromolecular chemistry, polymers",59,0.97,73.63,4.28,"west"
"NL23","Materials, metallurgy",0,0,72.23,19.33,"west"
"NL31","Materials, metallurgy",29,0.67,26.11,19.33,"west"
"NL32","Materials, metallurgy",87,1.44,46.79,19.33,"west"
"NL33","Materials, metallurgy",70,0.72,56.53,19.33,"west"
"NL32","Measurement",139,0.77,48.6,54.84,"west"
"NL31","Measurement",101,0.78,40.9,54.84,"west"
"NL23","Measurement",3,0.21,30.01,54.84,"west"
"NL33","Measurement",352,1.22,47.95,54.84,"west"
"NL23","Mechanical elements",16,2.15,34.13,14.17,"west"
"NL31","Mechanical elements",54,0.79,30.59,14.17,"west"
"NL32","Mechanical elements",57,0.6,35.48,14.17,"west"
"NL33","Mechanical elements",96,0.63,41.1,14.17,"west"
"NL23","Medical technology",3,0.25,34.19,41.08,"west"
"NL31","Medical technology",93,0.86,36.46,41.08,"west"
"NL32","Medical technology",120,0.79,52.18,41.08,"west"
"NL33","Medical technology",163,0.67,49.15,41.08,"west"
"NL23","Micro-structural and nano-technology",1,1.42,52.89,42,"west"
"NL31","Micro-structural and nano-technology",6,0.93,29.56,42,"west"
"NL32","Micro-structural and nano-technology",14,1.56,47.34,42,"west"
"NL33","Micro-structural and nano-technology",14,0.97,62.59,42,"west"
"NL23","Optics",1,0.28,33.74,45.39,"west"
"NL31","Optics",35,1.07,7.35,45.39,"west"
"NL32","Optics",34,0.74,39.59,45.39,"west"
"NL33","Optics",92,1.25,40.68,45.39,"west"
"NL31","Organic fine chemistry",63,1.17,57.72,28.13,"west"
"NL32","Organic fine chemistry",107,1.42,77.13,28.13,"west"
"NL33","Organic fine chemistry",89,0.74,81.08,28.13,"west"
"NL23","Organic fine chemistry",8,1.36,86.23,28.13,"west"
"NL32","Other consumer goods",52,0.79,45.8,23.01,"west"
"NL31","Other consumer goods",26,0.55,33.33,23.01,"west"
"NL33","Other consumer goods",57,0.54,38.1,23.01,"west"
"NL23","Other consumer goods",2,0.39,34.58,23.01,"west"
"NL31","Other special machines",94,0.98,27.93,0,"west"
"NL32","Other special machines",143,1.07,44.68,0,"west"
"NL33","Other special machines",290,1.35,39.79,0,"west"
"NL23","Other special machines",21,2,48.05,0,"west"
"NL31","Pharmaceuticals",248,3.16,75.51,40.46,"west"
"NL33","Pharmaceuticals",233,1.33,63.08,40.46,"west"
"NL32","Pharmaceuticals",170,1.56,82.97,40.46,"west"
"NL23","Pharmaceuticals",14,1.63,79.56,40.46,"west"
"NL33","Semiconductors",77,1.73,47.28,55.41,"west"
"NL32","Semiconductors",16,0.58,43.88,55.41,"west"
"NL31","Semiconductors",4,0.2,19.39,55.41,"west"
"NL23","Semiconductors",11,5.05,38.1,55.41,"west"
"NL23","Surface technology, coating",15,3.53,50.38,3.88,"west"
"NL33","Surface technology, coating",71,0.82,46.71,3.88,"west"
"NL32","Surface technology, coating",88,1.63,45.09,3.88,"west"
"NL31","Surface technology, coating",25,0.64,22.33,3.88,"west"
"NL32","Telecommunications",29,0.47,34.44,97.24,"west"
"NL31","Telecommunications",21,0.47,7.86,97.24,"west"
"NL23","Telecommunications",0,0,7.86,97.24,"west"
"NL33","Telecommunications",78,0.79,36.99,97.24,"west"
"NL31","Textile and paper machines",15,0.51,29.25,5.66,"west"
"NL33","Textile and paper machines",33,0.5,46.84,5.66,"west"
"NL32","Textile and paper machines",14,0.34,56.68,5.66,"west"
"NL23","Textile and paper machines",3,0.94,50.91,5.66,"west"
"NL23","Thermal processes and apparatus",9,2.51,47.33,9.58,"west"
"NL31","Thermal processes and apparatus",36,1.1,27.81,9.58,"west"
"NL32","Thermal processes and apparatus",41,0.9,34.97,9.58,"west"
"NL33","Thermal processes and apparatus",77,1.05,46.91,9.58,"west"
"NL23","Transport",12,0.95,42.22,23.23,"west"
"NL31","Transport",101,0.87,20.35,23.23,"west"
"NL32","Transport",107,0.66,27.84,23.23,"west"
"NL33","Transport",245,0.95,41.72,23.23,"west"
"west","Analysis of biological materials",153,1.45875816993464,61.3062091503268,34.97,"west"
"west","Audio-visual technology",189,1.11460317460317,24.3624867724868,72.35,"west"
"west","Basic communication processes",28,0.526428571428571,30.4353571428571,82.4,"west"
"west","Basic materials chemistry",361,1.42324099722992,44.4603878116343,12.17,"west"
"west","Biotechnology",704,2.58840909090909,78.2446732954545,36.76,"west"
"west","Chemical engineering",389,1.23200514138817,49.516940874036,18.36,"west"
"west","Civil engineering",379,1.34184696569921,33.9405540897098,13.72,"west"
"west","Computer technology",373,0.878203753351206,23.952600536193,88.39,"west"
"west","Control",125,0.57016,31.59808,46.7,"west"
"west","Digital communication",233,0.595836909871245,19.5417167381974,100,"west"
"west","Electrical machinery, apparatus, energy",311,0.582347266881029,38.8667524115756,30.49,"west"
"west","Engines, pumps, turbines",144,0.588611111111111,39.0117361111111,25.2,"west"
"west","Environmental technology",153,1.14699346405229,54.4994117647059,24.65,"west"
"west","Food chemistry",409,4.11667481662592,72.5833985330073,20.91,"west"
"west","Furniture, games",203,1.28261083743842,40.5134975369458,18.02,"west"
"west","Green technologies",660,1.20786363636364,36.7214848484848,27.17,"west"
"west","Handling",392,1.27191326530612,32.8661989795918,3.8,"west"
"west","IT methods for management",64,0.6878125,26.34609375,55.98,"west"
"west","Machine tools",88,0.441818181818182,44.7347727272727,1.93,"west"
"west","Macromolecular chemistry, polymers",157,0.914458598726115,59.9776433121019,4.28,"west"
"west","Materials, metallurgy",186,1.04897849462366,47.2312903225806,19.33,"west"
"west","Measurement",595,1.03509243697479,46.8146722689076,54.84,"west"
"west","Mechanical elements",223,0.770134529147982,36.6183856502242,14.17,"west"
"west","Medical technology",379,0.751292875989446,46.8770448548813,41.08,"west"
"west","Micro-structural and nano-technology",35,1.212,50.5505714285714,42,"west"
"west","Optics",162,1.09808641975309,33.2074691358025,45.39,"west"
"west","Organic fine chemistry",267,1.1325468164794,74.1394382022472,28.13,"west"
"west","Other consumer goods",137,0.634598540145985,40.0659854014599,23.01,"west"
"west","Other special machines",548,1.23837591240876,39.3481934306569,0,"west"
"west","Pharmaceuticals",665,2.07757894736842,73.1471578947368,40.46,"west"
"west","Semiconductors",108,1.84111111111111,44.8083333333333,55.41,"west"
"west","Surface technology, coating",199,1.35984924623116,43.2074371859296,3.88,"west"
"west","Telecommunications",128,0.665,31.633125,97.24,"west"
"west","Textile and paper machines",65,0.488153846153846,45.088,5.66,"west"
"west","Thermal processes and apparatus",163,1.1039263803681,39.711472392638,9.58,"west"
"west","Transport",465,0.86589247311828,33.8973548387097,23.23,"west"
