"id","parent","value","color","share"
"Brainlab Ag (DE)","Augmented reality",46,"navyblue",0.08
"Universit„§T Basel (CH)","Biotechnology",11,"lightorange",0.02
"Jpt Peptide Technologies Gmbh (DE)","Biotechnology",1,"lightorange",0
"Biontech Ag (DE)","Biotechnology",5,"lightorange",0.01
"Tron - Translationale Onkologie An Der Universit„§Tsmedizin Der Johannes Gutenberg- Universit„§T Mainz Gemeinn„ºTzige Gmbh (DE)","Biotechnology",16,"lightorange",0.03
"Siemens Healthcare Gmbh (DE)","Augmented reality",18,"navyblue",0.03
"Erasmus University Medical Center Rotterdam (NL)","Augmented reality",2,"navyblue",0
"Aalto University Foundation (FI)","Nanotechnology",1,"darkred",0
"Nanophase Technologies Corporation (US)","Nanotechnology",2,"darkred",0
"Hospital Sant Joan De Deu (ES)","Biotechnology",2,"lightorange",0
"Fundaci„≥ Cellex (ES)","Biotechnology",1,"lightorange",0
"Brainlab Ag (DE)","Autonomous robots",5,"teal",0.01
"Marx J„ºRgen (DE)","Autonomous vehicles",1,"cyan",0
"Biogen Ma Inc (US)","Biotechnology",27,"lightorange",0.04
"Ecole Polytechnique F„©D„©Rale De Lausanne (Epfl) (CH)","Biotechnology",6,"lightorange",0.01
"Universita' Degli Studi Di Padova (IT)","Biotechnology",2,"lightorange",0
"Glaxosmithkline Biologicals Sa (BE)","Biotechnology",76,"lightorange",0.12
"Stellenbosch University (ZA)","Biotechnology",2,"lightorange",0
"Centro Studi Srl (IT)","Artificial intelligence",1,"black",0
"Centro Studi Srl (IT)","Cloud computing",1,"maroon",0
"Centro Studi Srl (IT)","Internet of things",1,"turquoise",0
"Biontech Cell & Gene Therapies Gmbh (DE)","Biotechnology",2,"lightorange",0
"Biontech Rna Pharmaceuticals Gmbh (DE)","Biotechnology",26,"lightorange",0.04
"Universit„© Pierre Et Marie Curie (Paris 6) (FR)","Biotechnology",4,"lightorange",0.01
"Inserm - Institut National De La Sant„© Et De La Recherche M„©Dicale (FR)","Biotechnology",24,"lightorange",0.04
"Humabs Biomed Sa (CH)","Biotechnology",19,"lightorange",0.03
"Biontech Ag (DE)","Nanotechnology",2,"darkred",0
"Hp Indigo Bv (NL)","Advanced Sustainable Materials",1,"orange",0
"Consejo Superior De Investigaciones Cient„≠ficas (Csic) (ES)","Advanced Sustainable Materials",3,"orange",0
"Universidad P„∫blica De Navarra (ES)","Advanced Sustainable Materials",1,"orange",0
"Consejo Superior De Investigaciones Cient„≠ficas (Csic) (ES)","Biotechnology",16,"lightorange",0.03
"Universidad P„∫blica De Navarra (ES)","Biotechnology",1,"lightorange",0
"Politechnika Rzeszowska (PL)","Augmented reality",1,"navyblue",0
"Razavi Omrani Javaheralsadat (IR)","Batteries",1,"red",0
"Moradian Mohammadreza (IR)","Batteries",1,"red",0
"Razavi Omrani Javaheralsadat (IR)","Green transports",1,"pink",0
"Moradian Mohammadreza (IR)","Green transports",1,"pink",0
"Eli Lilly And Company (US)","Biotechnology",90,"lightorange",0.15
"Mammedov Tarlan (TR)","Biotechnology",1,"lightorange",0
"Dokter Philippe De Vleeschauwer Bv Bvba (BE)","Additive manufacturing",1,"olive",0
"Trophy (FR)","Augmented reality",6,"navyblue",0.01
