"id","parent","value","color","share"
"Ses-Imagotag Gmbh (AT)","Internet of things",5,"turquoise",0
"Sony Corporation (JP)","Cloud computing",64,"maroon",0.03
"Sony Corporation (JP)","Internet of things",212,"turquoise",0.09
"Sicpa Holding Sa (CH)","Advanced Sustainable Materials",1,"orange",0
"Align Technology Inc (US)","Additive manufacturing",6,"olive",0
"Dow Global Technologies Llc (US)","Solar energy",6,"green",0
"Dow Global Technologies Llc (US)","Green buildings",3,"darkorange",0
"Milliken & Company (US)","Advanced Sustainable Materials",2,"orange",0
"Apple Inc (US)","Solar energy",14,"green",0.01
"Wrr Holding Leiden Bv (NL)","Advanced Sustainable Materials",1,"orange",0
"Aximum (FR)","Solar energy",1,"green",0
"Propagenix Inc (US)","Biotechnology",1,"lightorange",0
"Nulabel Technologies Inc (US)","Advanced Sustainable Materials",1,"orange",0
"Relineeurope Ag (DE)","Water related adaptation technologies",2,"indigo",0
"3m Innovative Properties Company (US)","Advanced Sustainable Materials",29,"orange",0.01
"Osram Oled Gmbh (DE)","Solar energy",11,"green",0
"Osram Oled Gmbh (DE)","Advanced Sustainable Materials",1,"orange",0
"Tffi Gmbh & Co Kg (AT)","Solar energy",1,"green",0
"Osram Opto Semiconductors Gmbh (DE)","Solar energy",32,"green",0.01
"Ccl Label Inc (US)","Advanced Sustainable Materials",3,"orange",0
"Parador Gmbh (DE)","Advanced Sustainable Materials",2,"orange",0
"Tecma Snc Di Vino Cosimo E Gerardi Nicola (IT)","Advanced Sustainable Materials",1,"orange",0
"Barco Nv (BE)","Solar energy",2,"green",0
"R J Reynolds Tobacco Company (US)","Internet of things",1,"turquoise",0
"Schreiner Group Gmbh & Co Kg (DE)","Batteries",2,"red",0
"Televic Rail Nv (BE)","Solar energy",1,"green",0
"Televic Rail Nv (BE)","Green transports",1,"pink",0
"Televic Rail Nv (BE)","Cloud computing",1,"maroon",0
"Televic Rail Nv (BE)","Internet of things",1,"turquoise",0
"Anadolu Universitesi Rektorlugu (TR)","Augmented reality",1,"navyblue",0
"Boe Technology Group Co Ltd (CN)","Solar energy",152,"green",0.06
"Boe Technology Group Co Ltd (CN)","Advanced Sustainable Materials",40,"orange",0.02
"Soken Chemical & Engineering Co Ltd (JP)","Advanced Sustainable Materials",2,"orange",0
"Hewlett-Packard Development Company Lp (US)","Solar energy",4,"green",0
"Divert Inc (US)","Waste management",1,"blue",0
"Divert Inc (US)","Autonomous vehicles",1,"cyan",0
"Divert Inc (US)","Cloud computing",1,"maroon",0
"Divert Inc (US)","Internet of things",1,"turquoise",0
"Divert Inc (US)","Recycling technologies",2,"darkgreen",0
"3m Innovative Properties Company (US)","Solar energy",11,"green",0
"Dst Innovations Limited (UK)","Solar energy",1,"green",0
"Dst Innovations Limited (UK)","Batteries",2,"red",0
"Avery Dennison Corporation (US)","Advanced Sustainable Materials",9,"orange",0
"Konica Minolta Inc (JP)","Advanced Sustainable Materials",10,"orange",0
"Koninklijke Philips Nv (NL)","Solar energy",3,"green",0
"Semiconductor Energy Laboratory Co Ltd (JP)","Solar energy",25,"green",0.01
"Nitto Denko Corporation (JP)","Advanced Sustainable Materials",151,"orange",0.06
"Dai Nippon Printing Co Ltd (JP)","Advanced Sustainable Materials",32,"orange",0.01
"Seoul Semiconductor Co Ltd (KR)","Solar energy",4,"green",0
"Seoul Semiconductor Co Ltd (KR)","Quantum computers",1,"silver",0
"K-Tronics (Suzhou) Technology Co Ltd (CN)","Advanced Sustainable Materials",2,"orange",0
"Sumitomo Chemical Company Ltd (JP)","Advanced Sustainable Materials",3,"orange",0
"Yu Chi (CN)","Advanced Sustainable Materials",1,"orange",0
"Sony Corporation (JP)","Quantum computers",20,"silver",0.01
"Brother Kogyo Kabushiki Kaisha (JP)","Advanced Sustainable Materials",2,"orange",0
"Nissha Printing Co Ltd (JP)","Advanced Sustainable Materials",2,"orange",0
"Boe Technology Group Co Ltd (CN)","Quantum computers",27,"silver",0.01
"Boe Technology Group Co Ltd (CN)","Nanotechnology",6,"darkred",0
"Lin Yi (CN)","Solar energy",1,"green",0
"Boe Technology Group Co Ltd (CN)","Cybersecurity",85,"yellow",0.04
"Dexerials Corporation (JP)","Advanced Sustainable Materials",17,"orange",0.01
"The Nippon Synthetic Chemical Industry Co Ltd (JP)","Advanced Sustainable Materials",1,"orange",0
"Yupo Corporation (JP)","Advanced Sustainable Materials",15,"orange",0.01
"Corning Incorporated (US)","Solar energy",7,"green",0
"Corning Incorporated (US)","Advanced Sustainable Materials",52,"orange",0.02
"Suzhou Lekin Semiconductor Co Ltd (CN)","Solar energy",1,"green",0
"Ohb System Ag (DE)","Cybersecurity",1,"yellow",0
"Fraunhofer-Gesellschaft Zur F„∂Rderung Der Angewandten Forschung Ev (DE)","Cybersecurity",11,"yellow",0
"Nec Lighting Ltd (JP)","Solar energy",2,"green",0
"X-Control System Co Ltd (CN)","Autonomous vehicles",1,"cyan",0
